,Star Index,RA (degrees),Dec (degrees),Distance (AU)
761,761,11h 19m 07.78s,"+38deg 11' 06.3""",1.15749e+07 au
762,762,11h 19m 20.24s,"-14deg 46' 37.6""",1.23143e+07 au
763,763,11h 21m 00.31s,"-54deg 29' 27.7""",2.03217e+07 au
764,764,11h 21m 08.04s,"+06deg 01' 45.2""",1.35344e+07 au
765,765,11h 22m 49.50s,"+43deg 28' 57.4""",3.11108e+07 au
766,766,11h 23m 12.63s,"-36deg 09' 53.2""",5.42802e+07 au
767,767,11h 23m 55.69s,"+10deg 31' 44.3""",4.99915e+06 au
768,768,11h 24m 36.55s,"-10deg 51' 33.0""",2.30463e+07 au
769,769,11h 24m 52.76s,"-17deg 41' 02.4""",5.30244e+06 au
770,770,11h 27m 56.27s,"+02deg 51' 22.3""",3.92885e+07 au
771,771,11h 30m 18.93s,"-03deg 00' 13.0""",3.81972e+07 au
772,772,11h 31m 24.03s,"+69deg 19' 51.4""",2.11337e+07 au
773,773,11h 32m 16.37s,"-29deg 15' 36.1""",5.50921e+06 au
774,774,11h 32m 59.71s,"-31deg 51' 28.5""",8.17538e+06 au
775,775,11h 34m 45.50s,"-54deg 15' 50.3""",2.9299e+07 au
776,776,11h 35m 46.76s,"-63deg 01' 11.6""",2.59127e+07 au
777,777,11h 36m 40.81s,"-09deg 48' 08.0""",1.92771e+07 au
778,778,11h 36m 56.93s,"-00deg 49' 24.4""",1.12651e+07 au
779,779,11h 40m 12.70s,"-34deg 44' 40.8""",3.12997e+07 au
780,780,11h 40m 53.58s,"-62deg 05' 24.3""",4.61443e+07 au
781,781,11h 43m 31.17s,"-62deg 29' 21.8""",1.62413e+08 au
782,782,11h 44m 45.82s,"-18deg 21' 03.0""",2.21552e+07 au
783,783,11h 45m 17.14s,"+08deg 15' 28.7""",7.55826e+06 au
784,784,11h 45m 36.00s,"-66deg 43' 42.7""",8.11427e+06 au
785,785,11h 45m 51.53s,"+06deg 31' 41.3""",1.97951e+07 au
786,786,11h 46m 02.67s,"+47deg 46' 46.6""",1.23957e+07 au
787,787,11h 46m 30.75s,"-61deg 10' 42.6""",2.74654e+07 au
788,788,11h 46m 27.75s,"-40deg 29' 51.3""",1.9058e+06 au
789,789,11h 47m 58.88s,"+20deg 13' 08.1""",1.43239e+07 au
790,790,11h 48m 14.66s,"-66deg 48' 54.1""",2.73198e+07 au
791,791,11h 49m 02.73s,"+14deg 34' 16.6""",2.28776e+06 au
792,792,11h 49m 41.00s,"-63deg 47' 18.4""",2.90514e+07 au
793,793,11h 49m 56.58s,"-70deg 13' 32.9""",9.20825e+07 au
794,794,11h 50m 42.94s,"+01deg 45' 46.3""",2.24836e+06 au
795,795,11h 51m 08.52s,"-45deg 10' 24.7""",2.93407e+07 au
796,796,11h 51m 51.09s,"-65deg 12' 21.4""",2.13968e+07 au
797,797,11h 52m 54.41s,"-33deg 54' 29.2""",2.3098e+07 au
798,798,11h 53m 50.15s,"+53deg 41' 41.4""",5.2902e+06 au
799,799,11h 59m 37.24s,"-78deg 13' 18.8""",2.30463e+07 au
800,800,12h 00m 52.39s,"+06deg 36' 50.8""",2.2518e+07 au
801,801,12h 03m 00.94s,"-63deg 18' 46.4""",1.45359e+07 au
802,802,12h 04m 19.15s,"-63deg 09' 56.6""",4.76362e+07 au
803,803,12h 05m 12.17s,"+08deg 44' 00.2""",1.08105e+07 au
804,804,12h 06m 53.03s,"-64deg 36' 50.4""",4.06113e+06 au
805,805,12h 08m 05.14s,"-50deg 39' 40.8""",2.37632e+07 au
806,806,12h 08m 21.38s,"-50deg 43' 20.9""",2.50018e+07 au
807,807,12h 08m 25.00s,"-24deg 43' 44.9""",3.0463e+06 au
808,808,12h 10m 07.35s,"-22deg 37' 10.9""",1.91874e+07 au
809,809,12h 11m 39.00s,"-52deg 22' 06.9""",2.16437e+07 au
810,810,12h 15m 08.60s,"-58deg 44' 56.4""",2.30206e+07 au
811,811,12h 15m 25.87s,"+57deg 01' 57.6""",5.15018e+06 au
812,812,12h 15m 48.09s,"-17deg 32' 30.4""",1.04279e+07 au
813,813,12h 16m 20.49s,"+23deg 56' 43.3""",1.57214e+07 au
814,814,12h 16m 30.03s,"+33deg 03' 38.7""",1.93676e+07 au
815,815,12h 17m 33.26s,"-67deg 57' 39.3""",1.90986e+07 au
816,816,12h 18m 20.49s,"-79deg 18' 43.8""",1.71174e+07 au
817,817,12h 18m 26.12s,"-64deg 00' 11.3""",2.28422e+07 au
818,818,12h 19m 54.26s,"-00deg 40' 01.1""",1.57936e+07 au
819,819,12h 20m 20.50s,"+03deg 18' 43.7""",1.80459e+07 au
820,820,12h 20m 42.84s,"+17deg 47' 36.5""",2.28169e+07 au
821,821,12h 21m 21.04s,"-60deg 24' 01.9""",1.44241e+07 au
822,822,12h 22m 30.29s,"+25deg 50' 46.0""",1.72896e+07 au
823,823,12h 24m 01.53s,"+51deg 33' 44.4""",2.48512e+07 au
824,824,12h 26m 24.04s,"+27deg 16' 05.4""",1.73041e+07 au
825,825,12h 26m 31.68s,"-51deg 27' 02.5""",2.52775e+07 au
826,826,12h 26m 35.77s,"-63deg 05' 57.1""",2.02817e+07 au
827,827,12h 26m 56.12s,"+28deg 16' 04.3""",1.07542e+07 au
828,828,12h 26m 59.28s,"+26deg 49' 32.3""",1.7843e+07 au
829,829,12h 28m 02.30s,"-50deg 13' 50.6""",2.80251e+07 au
830,830,12h 29m 51.49s,"-16deg 30' 59.0""",5.5582e+06 au
831,831,12h 31m 10.04s,"-57deg 06' 54.1""",5.5612e+06 au
832,832,12h 32m 03.50s,"-16deg 11' 47.1""",3.75573e+06 au
833,833,12h 32m 27.74s,"-72deg 07' 58.9""",2.04831e+07 au
834,834,12h 33m 28.67s,"+69deg 47' 17.9""",3.14908e+07 au
835,835,12h 33m 42.99s,"+41deg 21' 34.2""",1.72664e+06 au
836,836,12h 34m 23.24s,"-23deg 23' 49.7""",8.8374e+06 au
837,837,12h 34m 43.87s,"+70deg 01' 18.3""",3.45502e+07 au
838,838,12h 34m 50.98s,"+22deg 37' 46.0""",2.30721e+07 au
839,839,12h 37m 10.83s,"-69deg 08' 08.3""",1.93313e+07 au
840,840,12h 37m 41.70s,"-48deg 32' 28.9""",8.3272e+06 au
841,841,12h 39m 14.64s,"-07deg 59' 44.6""",2.0143e+07 au
842,842,12h 39m 52.44s,"-39deg 59' 14.9""",2.24445e+07 au
843,843,12h 41m 30.57s,"-48deg 57' 35.6""",8.24729e+06 au
844,844,12h 41m 38.62s,"-01deg 26' 56.2""",2.44014e+06 au
845,845,12h 41m 53.20s,"+10deg 14' 06.0""",7.61125e+06 au
846,846,12h 41m 56.49s,"-59deg 41' 09.0""",6.54809e+07 au
847,847,12h 42m 35.14s,"-48deg 48' 47.9""",1.19159e+07 au
848,848,12h 45m 38.43s,"-60deg 58' 54.4""",7.88173e+06 au
849,849,12h 46m 16.63s,"-68deg 06' 29.5""",1.96818e+07 au
850,850,12h 46m 22.62s,"-56deg 29' 20.1""",2.50321e+07 au
851,851,12h 47m 43.11s,"-59deg 41' 19.9""",2.22989e+07 au
852,852,12h 50m 41.11s,"-33deg 59' 57.8""",2.45846e+07 au
853,853,12h 51m 41.90s,"+27deg 32' 26.3""",1.94223e+07 au
854,854,12h 53m 06.71s,"-48deg 56' 36.6""",1.91518e+07 au
855,855,12h 53m 17.67s,"+21deg 14' 41.0""",2.05035e+07 au
856,856,12h 53m 26.35s,"-40deg 10' 44.5""",9.80812e+06 au
857,857,12h 54m 02.08s,"+55deg 57' 35.1""",5.11823e+06 au
858,858,12h 54m 21.13s,"-09deg 32' 20.9""",2.63766e+07 au
859,859,12h 54m 35.53s,"-57deg 10' 40.9""",2.38732e+07 au
860,860,12h 54m 39.07s,"-59deg 08' 48.5""",2.27665e+07 au
861,861,12h 55m 35.43s,"+03deg 23' 49.6""",1.28035e+07 au
862,862,12h 56m 01.18s,"+38deg 19' 07.5""",6.96841e+06 au
863,863,12h 58m 55.38s,"+17deg 24' 34.9""",1.8906e+07 au
864,864,13h 00m 16.43s,"+30deg 47' 05.9""",5.68223e+07 au
865,865,13h 00m 44.02s,"+56deg 21' 58.9""",5.1489e+06 au
866,866,13h 02m 10.13s,"+10deg 57' 33.4""",6.46598e+06 au
867,867,13h 02m 17.64s,"-71deg 32' 56.5""",5.74394e+06 au
868,868,13h 03m 33.19s,"-49deg 31' 38.4""",1.37785e+07 au
869,869,13h 06m 16.63s,"-48deg 27' 48.2""",2.61757e+07 au
870,870,13h 06m 54.57s,"-49deg 54' 22.8""",2.60435e+07 au
871,871,13h 07m 10.79s,"+27deg 37' 27.4""",1.91874e+07 au
872,872,13h 09m 03.23s,"-23deg 07' 06.0""",1.45873e+07 au
873,873,13h 09m 56.93s,"-05deg 32' 21.2""",2.62423e+07 au
874,874,13h 09m 58.50s,"+17deg 31' 49.2""",2.95466e+06 au
875,875,13h 11m 50.90s,"+27deg 53' 03.3""",1.88835e+06 au
876,876,13h 12m 02.39s,"-37deg 48' 09.7""",4.22414e+06 au
877,877,13h 12m 17.50s,"-59deg 55' 14.5""",2.18965e+07 au
878,878,13h 13m 42.83s,"+40deg 09' 10.8""",3.30553e+07 au
879,879,13h 14m 14.34s,"-59deg 06' 15.5""",3.71715e+06 au
880,880,13h 15m 14.78s,"-67deg 53' 40.8""",2.56548e+07 au
881,881,13h 17m 12.95s,"-66deg 47' 00.5""",7.50054e+07 au
882,882,13h 17m 32.27s,"+40deg 34' 21.8""",1.81093e+07 au
883,883,13h 17m 36.27s,"+05deg 28' 11.8""",3.42064e+07 au
884,884,13h 18m 22.45s,"-18deg 19' 06.6""",1.75844e+06 au
885,885,13h 18m 55.42s,"-23deg 10' 18.5""",8.35418e+06 au
886,886,13h 20m 35.12s,"-36deg 42' 46.4""",3.70713e+06 au
887,887,13h 22m 37.82s,"-60deg 59' 18.6""",2.24201e+07 au
888,888,13h 23m 55.89s,"+54deg 55' 30.8""",4.94284e+06 au
889,889,13h 24m 00.59s,"-64deg 32' 08.9""",1.62541e+07 au
890,890,13h 25m 11.51s,"-11deg 09' 41.5""",1.65808e+07 au
891,891,13h 25m 13.88s,"+54deg 59' 16.2""",5.13224e+06 au
892,892,13h 27m 26.95s,"-15deg 58' 24.3""",1.63313e+07 au
893,893,13h 28m 25.41s,"+13deg 46' 29.4""",3.73533e+06 au
894,894,13h 31m 02.62s,"-39deg 24' 26.6""",7.93326e+07 au
895,895,13h 31m 57.71s,"-06deg 15' 22.0""",2.73198e+07 au
896,896,13h 34m 08.00s,"+03deg 39' 31.7""",1.15944e+07 au
897,897,13h 34m 26.94s,"+49deg 00' 58.2""",1.20482e+07 au
898,898,13h 34m 41.13s,"-00deg 35' 43.8""",4.62996e+06 au
899,899,13h 34m 47.98s,"+37deg 10' 56.5""",9.18365e+06 au
900,900,13h 37m 27.43s,"+36deg 17' 42.2""",1.21261e+07 au
901,901,13h 39m 53.22s,"-53deg 27' 59.3""",2.37632e+07 au
902,902,13h 40m 44.22s,"+54deg 40' 53.6""",3.47247e+07 au
903,903,13h 41m 44.65s,"-54deg 33' 34.5""",1.71174e+07 au
904,904,13h 45m 40.34s,"-33deg 02' 41.0""",3.97351e+06 au
905,905,13h 46m 39.41s,"-51deg 25' 58.6""",1.62669e+07 au
906,906,13h 47m 14.91s,"+17deg 27' 26.2""",3.21686e+06 au
907,907,13h 47m 32.13s,"+49deg 18' 47.4""",6.36816e+06 au
908,908,13h 49m 26.64s,"-34deg 27' 04.3""",1.12161e+07 au
909,909,13h 49m 28.48s,"+15deg 47' 53.5""",1.55203e+07 au
