,Star Index,RA (degrees),Dec (degrees),Distance (AU)
1011,1011,15h 17m 49.82s,"-30deg 08' 55.3""",1.94773e+07 au
1012,1012,15h 18m 31.94s,"-47deg 52' 31.8""",1.83837e+07 au
1013,1013,15h 18m 54.28s,"-68deg 40' 47.2""",1.15555e+07 au
1014,1014,15h 20m 43.62s,"+71deg 50' 02.9""",3.03777e+07 au
1015,1015,15h 21m 22.28s,"-40deg 38' 51.7""",3.22793e+07 au
1016,1016,15h 21m 48.18s,"-36deg 15' 43.1""",2.06471e+07 au
1017,1017,15h 22m 07.92s,"-47deg 55' 43.3""",7.04697e+06 au
1018,1018,15h 22m 40.82s,"-44deg 41' 23.1""",3.18802e+07 au
1019,1019,15h 23m 09.31s,"-36deg 51' 31.1""",3.83392e+07 au
1020,1020,15h 23m 12.55s,"+30deg 17' 11.8""",3.84106e+06 au
1021,1021,15h 23m 22.61s,"-59deg 19' 15.7""",3.22289e+07 au
1022,1022,15h 24m 11.77s,"-10deg 19' 23.9""",6.67524e+06 au
1023,1023,15h 24m 29.12s,"+37deg 22' 39.9""",7.65077e+06 au
1024,1024,15h 24m 55.75s,"+58deg 57' 58.3""",6.46193e+06 au
1025,1025,15h 25m 20.12s,"-38deg 44' 01.4""",2.36542e+07 au
1026,1026,15h 27m 49.39s,"+29deg 06' 22.7""",7.21206e+06 au
1027,1027,15h 31m 24.58s,"+77deg 20' 57.8""",5.26186e+07 au
1028,1028,15h 31m 46.95s,"+40deg 53' 57.2""",2.71759e+07 au
1029,1029,15h 32m 55.74s,"+31deg 21' 32.7""",1.9663e+07 au
1030,1030,15h 34m 11.21s,"-10deg 03' 58.1""",5.97177e+06 au
1031,1031,15h 34m 41.49s,"+26deg 42' 50.7""",4.72543e+06 au
1032,1032,15h 34m 48.03s,"+10deg 32' 20.0""",1.32732e+07 au
1033,1033,15h 35m 08.41s,"-41deg 10' 01.0""",3.58721e+07 au
1034,1034,15h 35m 31.69s,"-14deg 47' 22.2""",9.62954e+06 au
1035,1035,15h 35m 53.20s,"-44deg 57' 30.7""",2.74654e+07 au
1036,1036,15h 36m 43.32s,"-66deg 19' 02.7""",1.3669e+07 au
1037,1037,15h 37m 01.43s,"-28deg 08' 06.4""",1.2307e+07 au
1038,1038,15h 38m 02.87s,"-42deg 34' 01.1""",1.45359e+07 au
1039,1039,15h 38m 39.33s,"-29deg 46' 40.6""",2.81398e+07 au
1040,1040,15h 39m 22.64s,"+36deg 38' 08.8""",2.99368e+07 au
1041,1041,15h 39m 45.99s,"-34deg 24' 43.3""",1.54853e+07 au
1042,1042,15h 40m 16.87s,"-23deg 49' 05.3""",2.41245e+07 au
1043,1043,15h 41m 10.99s,"-44deg 39' 46.9""",3.61298e+06 au
1044,1044,15h 41m 32.95s,"+19deg 40' 12.4""",1.21547e+07 au
1045,1045,15h 41m 56.74s,"-19deg 40' 46.4""",2.52775e+07 au
1046,1046,15h 42m 40.97s,"-34deg 42' 38.2""",2.50321e+07 au
1047,1047,15h 42m 44.36s,"+26deg 17' 45.6""",9.17548e+06 au
1048,1048,15h 44m 03.68s,"+77deg 47' 40.1""",2.37632e+07 au
1049,1049,15h 44m 16.30s,"+06deg 25' 33.4""",4.631e+06 au
1050,1050,15h 46m 11.37s,"+15deg 25' 17.5""",9.67925e+06 au
1051,1051,15h 46m 26.24s,"+07deg 21' 09.4""",2.42436e+06 au
1052,1052,15h 48m 44.29s,"+18deg 08' 27.4""",2.20368e+07 au
1053,1053,15h 49m 35.50s,"+26deg 04' 04.6""",1.0465e+07 au
1054,1054,15h 49m 37.05s,"-03deg 25' 49.4""",9.85028e+06 au
1055,1055,15h 50m 49.18s,"+04deg 28' 41.4""",4.44632e+06 au
1056,1056,15h 50m 57.53s,"-33deg 37' 38.4""",1.30053e+07 au
1057,1057,15h 50m 58.72s,"-25deg 45' 05.3""",3.30024e+07 au
1058,1058,15h 51m 13.92s,"+35deg 39' 18.0""",6.4197e+06 au
1059,1059,15h 51m 15.81s,"+20deg 58' 41.0""",2.49715e+07 au
1060,1060,15h 52m 41.52s,"+42deg 27' 21.1""",3.26989e+06 au
1061,1061,15h 53m 36.69s,"-25deg 19' 38.3""",2.74288e+07 au
1062,1062,15h 53m 49.71s,"-16deg 43' 42.1""",1.03029e+07 au
1063,1063,15h 55m 07.87s,"-63deg 26' 00.6""",2.53896e+06 au
1064,1064,15h 56m 27.72s,"+15deg 39' 10.1""",2.29387e+06 au
1065,1065,15h 56m 53.05s,"-29deg 12' 51.3""",2.58802e+07 au
1066,1066,15h 57m 35.11s,"+26deg 52' 38.9""",1.45257e+07 au
1067,1067,15h 57m 47.01s,"+54deg 45' 01.8""",6.97548e+06 au
1068,1068,15h 58m 11.35s,"-14deg 16' 46.1""",3.24316e+07 au
1069,1069,15h 58m 51.09s,"-26deg 06' 51.4""",2.90514e+07 au
1070,1070,15h 59m 30.18s,"-41deg 44' 40.4""",2.40122e+07 au
1071,1071,16h 00m 07.29s,"-38deg 23' 48.8""",3.1205e+07 au
1072,1072,16h 00m 19.99s,"-22deg 37' 19.1""",2.54021e+07 au
1073,1073,16h 01m 26.49s,"+29deg 51' 03.7""",2.22029e+07 au
1074,1074,16h 01m 52.33s,"+58deg 34' 03.2""",4.31607e+06 au
1075,1075,16h 02m 17.70s,"+22deg 48' 16.6""",1.11979e+07 au
1076,1076,16h 02m 48.03s,"+46deg 02' 10.6""",2.37632e+07 au
1077,1077,16h 03m 13.00s,"-49deg 13' 46.6""",1.37785e+07 au
1078,1078,16h 03m 20.50s,"-25deg 51' 55.8""",1.34025e+07 au
1079,1079,16h 03m 24.15s,"-38deg 36' 09.9""",3.33223e+07 au
1080,1080,16h 03m 31.73s,"-57deg 46' 32.2""",8.86779e+06 au
1081,1081,16h 05m 26.22s,"-19deg 48' 20.2""",3.3539e+07 au
1082,1082,16h 05m 26.49s,"-19deg 48' 06.9""",7.16197e+07 au
1083,1083,16h 06m 29.48s,"-45deg 10' 22.5""",7.8101e+06 au
1084,1084,16h 06m 35.51s,"-36deg 48' 09.0""",2.59779e+07 au
1085,1085,16h 06m 48.41s,"-20deg 40' 09.7""",2.67876e+07 au
1086,1086,16h 07m 24.40s,"-20deg 52' 08.7""",1.67423e+07 au
1087,1087,16h 08m 04.47s,"+17deg 02' 49.0""",2.45553e+07 au
1088,1088,16h 08m 46.12s,"+44deg 56' 06.5""",1.44544e+07 au
1089,1089,16h 08m 58.22s,"+36deg 29' 35.9""",7.15204e+06 au
1090,1090,16h 11m 59.72s,"-19deg 27' 39.2""",2.76124e+07 au
1091,1091,16h 11m 59.95s,"-10deg 03' 52.0""",1.04227e+07 au
1092,1092,16h 12m 18.19s,"-27deg 55' 35.5""",2.95932e+07 au
1093,1093,16h 13m 28.71s,"-54deg 37' 50.2""",2.76866e+07 au
1094,1094,16h 14m 20.66s,"-03deg 41' 43.1""",1.07654e+07 au
1095,1095,16h 15m 26.28s,"-63deg 41' 08.8""",3.92885e+07 au
1096,1096,16h 17m 00.93s,"-50deg 04' 05.3""",9.08656e+07 au
1097,1097,16h 17m 29.68s,"+75deg 45' 25.6""",6.15348e+06 au
1098,1098,16h 18m 17.83s,"-28deg 36' 53.0""",8.87924e+06 au
1099,1099,16h 18m 19.43s,"-04deg 41' 32.0""",6.79844e+06 au
1100,1100,16h 19m 44.41s,"+46deg 18' 49.1""",1.98905e+07 au
1101,1101,16h 19m 50.01s,"-50deg 09' 21.1""",8.06352e+06 au
1102,1102,16h 20m 20.72s,"-78deg 41' 45.6""",4.8419e+07 au
1103,1103,16h 20m 38.17s,"-24deg 10' 09.9""",7.44638e+07 au
1104,1104,16h 21m 11.30s,"-25deg 35' 34.5""",4.6456e+07 au
1105,1105,16h 21m 55.13s,"+19deg 09' 12.4""",1.23586e+07 au
1106,1106,16h 22m 04.09s,"+01deg 01' 45.7""",5.64182e+06 au
1107,1107,16h 22m 05.64s,"+30deg 53' 33.9""",1.1614e+07 au
1108,1108,16h 23m 59.43s,"+61deg 30' 52.6""",5.54774e+06 au
1109,1109,16h 24m 06.15s,"-20deg 02' 15.6""",1.1259e+07 au
1110,1110,16h 25m 25.02s,"+14deg 01' 58.3""",1.48713e+07 au
1111,1111,16h 25m 35.11s,"-23deg 26' 50.5""",2.49413e+07 au
1112,1112,16h 27m 01.43s,"-18deg 27' 23.1""",3.09243e+07 au
1113,1113,16h 27m 11.00s,"-47deg 33' 17.7""",2.52775e+07 au
1114,1114,16h 27m 48.08s,"-08deg 22' 18.5""",7.73396e+06 au
1115,1115,16h 27m 58.90s,"+68deg 46' 06.1""",3.1064e+07 au
1116,1116,16h 28m 29.11s,"-70deg 05' 01.1""",2.49685e+06 au
1117,1117,16h 28m 38.61s,"+41deg 52' 53.9""",2.28422e+07 au
1118,1118,16h 29m 24.44s,"-26deg 25' 55.8""",3.81972e+07 au
1119,1119,16h 30m 12.47s,"-25deg 06' 55.5""",2.48512e+07 au
1120,1120,16h 30m 13.03s,"+21deg 29' 22.2""",9.34594e+06 au
1121,1121,16h 30m 54.77s,"+01deg 59' 00.3""",1.05076e+07 au
1122,1122,16h 31m 08.29s,"-16deg 36' 46.8""",1.32817e+07 au
1123,1123,16h 31m 22.91s,"-34deg 42' 16.2""",4.72002e+07 au
1124,1124,16h 32m 08.24s,"-21deg 27' 58.1""",1.10538e+07 au
1125,1125,16h 32m 35.99s,"+11deg 29' 15.0""",2.00452e+07 au
1126,1126,16h 33m 26.01s,"-78deg 53' 51.7""",1.00912e+07 au
1127,1127,16h 34m 05.02s,"-44deg 02' 43.2""",2.94664e+08 au
1128,1128,16h 34m 06.16s,"+42deg 26' 14.8""",1.91163e+07 au
1129,1129,16h 35m 52.94s,"-28deg 12' 58.2""",2.71759e+07 au
1130,1130,16h 36m 22.50s,"-35deg 15' 18.9""",2.1419e+07 au
1131,1131,16h 37m 09.56s,"-10deg 34' 00.9""",2.89698e+07 au
1132,1132,16h 38m 44.72s,"+48deg 55' 42.7""",2.37906e+07 au
1133,1133,16h 40m 55.12s,"+64deg 35' 20.2""",4.30615e+07 au
1134,1134,16h 41m 16.26s,"+31deg 36' 18.4""",2.22676e+06 au
1135,1135,16h 41m 34.35s,"-17deg 44' 31.8""",2.4732e+07 au
1136,1136,16h 42m 53.84s,"+38deg 55' 18.0""",7.0857e+06 au
1137,1137,16h 43m 02.50s,"-77deg 31' 11.6""",9.9693e+06 au
1138,1138,16h 45m 17.90s,"+56deg 46' 56.4""",5.51363e+06 au
1139,1139,16h 45m 58.48s,"+82deg 02' 14.3""",2.19197e+07 au
1140,1140,16h 48m 39.98s,"-69deg 01' 40.6""",2.62758e+07 au
1141,1141,16h 49m 14.27s,"+45deg 58' 58.7""",1.10776e+07 au
1142,1142,16h 49m 47.28s,"-59deg 02' 29.6""",1.98141e+07 au
1143,1143,16h 49m 50.19s,"-10deg 47' 00.8""",7.62814e+06 au
1144,1144,16h 50m 08.59s,"-34deg 17' 42.0""",4.13771e+06 au
1145,1145,16h 51m 52.21s,"-38deg 02' 51.1""",5.19559e+07 au
1146,1146,16h 52m 20.12s,"-38deg 01' 03.7""",3.26886e+07 au
1147,1147,16h 53m 59.73s,"-42deg 21' 43.3""",2.06265e+14 au
1148,1148,16h 54m 00.38s,"+10deg 09' 54.4""",1.4786e+07 au
1149,1149,16h 54m 34.72s,"-42deg 21' 46.4""",9.51845e+06 au
1150,1150,16h 56m 02.62s,"+65deg 08' 06.5""",3.11202e+06 au
1151,1151,16h 57m 39.61s,"+09deg 22' 29.9""",5.42945e+06 au
1152,1152,16h 58m 37.16s,"-55deg 59' 25.4""",3.63142e+07 au
1153,1153,16h 59m 35.05s,"-53deg 09' 37.0""",1.92411e+07 au
1154,1154,17h 00m 17.28s,"+30deg 55' 35.7""",1.02927e+07 au
1155,1155,17h 01m 03.54s,"-04deg 13' 23.4""",2.54334e+07 au
1156,1156,17h 03m 07.92s,"+14deg 05' 29.4""",2.58802e+07 au
1157,1157,17h 04m 49.36s,"-34deg 07' 22.6""",1.6907e+08 au
1158,1158,17h 05m 19.93s,"+54deg 28' 14.0""",5.5627e+06 au
1159,1159,17h 05m 22.78s,"+12deg 44' 26.7""",9.09457e+06 au
1160,1160,17h 08m 47.11s,"+65deg 42' 53.3""",2.14859e+07 au
1161,1161,17h 10m 22.76s,"-15deg 43' 27.3""",5.32022e+06 au
1162,1162,17h 12m 09.24s,"-43deg 14' 28.2""",4.52732e+06 au
1163,1163,17h 14m 38.85s,"+14deg 23' 26.0""",2.41811e+07 au
1164,1164,17h 15m 01.87s,"+24deg 50' 17.2""",4.96426e+06 au
1165,1165,17h 15m 02.78s,"+36deg 48' 33.0""",2.32019e+07 au
1166,1166,17h 15m 20.10s,"-26deg 36' 38.5""",1.23453e+06 au
1167,1167,17h 16m 36.63s,"-00deg 26' 44.7""",1.37785e+07 au
1168,1168,17h 17m 19.56s,"+33deg 06' 00.2""",5.47122e+07 au
1169,1169,17h 17m 40.17s,"+37deg 17' 31.0""",1.12467e+07 au
1170,1170,17h 20m 49.73s,"-12deg 50' 48.7""",1.2234e+07 au
1171,1171,17h 21m 00.84s,"-21deg 06' 51.6""",3.58846e+06 au
1172,1172,17h 21m 59.32s,"-67deg 46' 14.6""",1.97194e+07 au
1173,1173,17h 22m 00.56s,"-24deg 59' 58.9""",3.56243e+07 au
1174,1174,17h 23m 40.86s,"+37deg 08' 45.6""",2.54021e+07 au
1175,1175,17h 25m 17.96s,"-55deg 31' 48.2""",3.81266e+07 au
1176,1176,17h 25m 23.66s,"-56deg 22' 40.2""",7.18693e+07 au
1177,1177,17h 26m 22.21s,"-24deg 10' 34.0""",5.29427e+06 au
1178,1178,17h 26m 30.88s,"+04deg 08' 25.5""",7.4196e+07 au
1179,1179,17h 26m 37.73s,"-05deg 05' 12.8""",6.19786e+06 au
1180,1180,17h 27m 21.30s,"-29deg 52' 04.7""",7.04938e+06 au
1181,1181,17h 30m 25.92s,"+52deg 18' 05.3""",2.28675e+07 au
1182,1182,17h 30m 44.34s,"+26deg 06' 38.7""",2.3228e+07 au
1183,1183,17h 30m 45.83s,"-37deg 17' 45.6""",3.27925e+07 au
1184,1184,17h 31m 05.73s,"-60deg 41' 04.3""",1.18407e+07 au
1185,1185,17h 31m 24.96s,"-23deg 57' 46.2""",2.69627e+07 au
1186,1186,17h 31m 50.41s,"-49deg 52' 35.8""",1.53243e+07 au
1187,1187,17h 32m 11.00s,"+55deg 11' 04.6""",6.25803e+06 au
1188,1188,17h 32m 13.29s,"+86deg 35' 12.6""",1.15555e+07 au
1189,1189,17h 32m 16.44s,"+55deg 10' 24.2""",6.31939e+06 au
1190,1190,17h 33m 36.50s,"-37deg 06' 14.5""",4.44536e+07 au
1191,1191,17h 34m 56.26s,"+12deg 33' 30.6""",2.95339e+06 au
1192,1192,17h 35m 39.53s,"-46deg 30' 21.4""",2.43812e+07 au
1193,1193,17h 36m 32.79s,"-38deg 38' 11.6""",9.11064e+06 au
1194,1194,17h 36m 57.10s,"+68deg 45' 36.6""",4.83962e+06 au
1195,1195,17h 37m 19.14s,"-42deg 59' 52.2""",1.72031e+07 au
1196,1196,17h 37m 35.13s,"-15deg 23' 56.3""",6.66876e+06 au
1197,1197,17h 37m 50.69s,"-08deg 07' 08.1""",3.47247e+07 au
1198,1198,17h 39m 27.87s,"+46deg 00' 22.9""",3.13472e+07 au
1199,1199,17h 40m 24.09s,"-49deg 25' 00.5""",4.51148e+06 au
1200,1200,17h 41m 24.75s,"-12deg 52' 32.5""",1.06267e+07 au
1201,1201,17h 41m 56.50s,"+72deg 08' 49.2""",4.54528e+06 au
1202,1202,17h 42m 29.26s,"-39deg 01' 48.6""",2.93407e+07 au
1203,1203,17h 43m 25.62s,"-21deg 41' 00.6""",3.61868e+06 au
1204,1204,17h 43m 28.29s,"+04deg 34' 06.2""",5.18514e+06 au
1205,1205,17h 45m 43.94s,"-64deg 43' 27.3""",2.34658e+07 au
1206,1206,17h 46m 26.98s,"+27deg 42' 55.9""",1.73259e+06 au
1207,1207,17h 47m 33.62s,"-27deg 49' 51.1""",6.80742e+07 au
1208,1208,17h 47m 35.08s,"-40deg 07' 37.3""",1.13332e+08 au
1209,1209,17h 47m 53.52s,"+02deg 42' 24.3""",5.99259e+06 au
1210,1210,17h 49m 10.48s,"-31deg 42' 11.7""",3.84106e+07 au
1211,1211,17h 49m 51.57s,"-37deg 02' 35.2""",8.02275e+06 au
1212,1212,17h 50m 11.12s,"-40deg 05' 25.6""",2.34392e+08 au
1213,1213,17h 53m 32.01s,"+56deg 52' 23.5""",7.04938e+06 au
1214,1214,17h 56m 15.19s,"+37deg 15' 02.1""",4.23542e+07 au
1215,1215,17h 56m 36.35s,"+51deg 29' 19.5""",9.33325e+06 au
1216,1216,17h 56m 47.42s,"-44deg 20' 32.6""",2.19664e+07 au
1217,1217,17h 57m 46.04s,"+29deg 14' 51.9""",8.55161e+06 au
1218,1218,17h 57m 47.80s,"-41deg 42' 59.0""",3.46082e+07 au
1219,1219,17h 58m 30.15s,"+30deg 11' 21.5""",5.03085e+07 au
1220,1220,17h 59m 01.57s,"-09deg 46' 28.0""",9.66112e+06 au
1221,1221,17h 59m 05.29s,"-30deg 15' 11.1""",5.91017e+07 au
1222,1222,17h 59m 47.54s,"-23deg 48' 59.3""",2.76124e+07 au
1223,1223,18h 00m 03.40s,"+16deg 45' 03.0""",4.1502e+07 au
1224,1224,18h 00m 15.80s,"+04deg 22' 06.7""",4.27935e+07 au
1225,1225,18h 00m 29.27s,"-03deg 41' 26.1""",4.78462e+06 au
1226,1226,18h 00m 38.72s,"+02deg 55' 53.4""",8.96804e+07 au
1227,1227,18h 01m 30.42s,"+21deg 35' 45.8""",2.9764e+07 au
1228,1228,18h 01m 45.22s,"+01deg 18' 17.9""",1.67559e+07 au
1229,1229,18h 03m 04.94s,"-08deg 10' 50.2""",1.07318e+07 au
1230,1230,18h 05m 01.23s,"-29deg 34' 48.4""",1.31379e+08 au
1231,1231,18h 05m 27.49s,"+02deg 29' 36.5""",1.04905e+06 au
1232,1232,18h 05m 48.38s,"-30deg 25' 31.2""",6.07734e+06 au
1233,1233,18h 06m 01.88s,"+22deg 13' 07.8""",3.89179e+07 au
1234,1234,18h 06m 37.85s,"-50deg 05' 29.5""",6.40574e+07 au
1235,1235,18h 06m 49.91s,"-43deg 25' 33.4""",9.05067e+06 au
1236,1236,18h 07m 18.38s,"+08deg 44' 02.7""",1.50448e+07 au
1237,1237,18h 07m 20.88s,"+09deg 33' 51.8""",5.23515e+06 au
1238,1238,18h 07m 28.74s,"+43deg 27' 41.4""",2.29694e+07 au
1239,1239,18h 07m 32.55s,"+28deg 45' 45.1""",2.19664e+07 au
1240,1240,18h 08m 05.03s,"-28deg 27' 26.3""",2.19899e+07 au
1241,1241,18h 08m 34.88s,"-63deg 40' 11.9""",8.75859e+06 au
1242,1242,18h 08m 45.49s,"+20deg 48' 52.3""",9.63854e+07 au
1243,1243,18h 11m 13.72s,"-45deg 57' 16.8""",2.58477e+07 au
1244,1244,18h 11m 43.35s,"-23deg 42' 05.1""",1.54505e+07 au
1245,1245,18h 11m 54.13s,"+31deg 24' 19.9""",3.80562e+07 au
1246,1246,18h 13m 45.81s,"-21deg 03' 31.8""",1.87513e+09 au
1247,1247,18h 13m 55.18s,"+64deg 23' 51.1""",4.84645e+06 au
1248,1248,18h 17m 37.37s,"-36deg 45' 46.2""",9.4314e+06 au
1249,1249,18h 18m 03.20s,"-27deg 02' 33.6""",4.42628e+07 au
1250,1250,18h 19m 51.68s,"+36deg 03' 53.4""",1.50448e+07 au
1251,1251,18h 20m 17.95s,"+21deg 57' 39.2""",2.69275e+07 au
1252,1252,18h 20m 45.40s,"+71deg 20' 17.0""",1.82859e+07 au
1253,1253,18h 20m 52.07s,"+03deg 22' 38.0""",1.70326e+07 au
1254,1254,18h 20m 59.70s,"-29deg 49' 41.8""",1.93313e+07 au
1255,1255,18h 21m 06.34s,"+72deg 43' 49.5""",1.66195e+06 au
1256,1256,18h 21m 17.70s,"-02deg 54' 13.1""",3.90579e+06 au
1257,1257,18h 23m 13.62s,"-61deg 29' 38.0""",2.65805e+07 au
1258,1258,18h 23m 39.67s,"-08deg 56' 02.5""",1.20764e+07 au
1259,1259,18h 23m 42.24s,"+21deg 46' 05.1""",8.12066e+06 au
1260,1260,18h 23m 54.49s,"+58deg 48' 04.2""",1.19159e+07 au
1261,1261,18h 24m 10.24s,"-34deg 23' 07.7""",9.147e+06 au
1262,1262,18h 25m 21.06s,"-20deg 32' 30.8""",3.77774e+07 au
1263,1263,18h 25m 59.56s,"+65deg 33' 47.9""",2.00647e+07 au
1264,1264,18h 26m 58.38s,"-45deg 58' 07.8""",1.57695e+07 au
1265,1265,18h 27m 58.16s,"-25deg 25' 22.7""",4.88779e+06 au
1266,1266,18h 28m 50.21s,"-49deg 04' 19.8""",8.05722e+06 au
1267,1267,18h 29m 11.86s,"-14deg 33' 57.0""",1.8433e+07 au
1268,1268,18h 31m 22.42s,"-62deg 16' 43.0""",3.02885e+07 au
1269,1269,18h 31m 45.42s,"-45deg 54' 54.0""",5.03085e+07 au
1270,1270,18h 32m 34.52s,"+57deg 02' 44.0""",1.82535e+08 au
1271,1271,18h 33m 30.26s,"-42deg 18' 45.6""",5.48577e+07 au
1272,1272,18h 35m 12.40s,"-08deg 14' 46.5""",1.10184e+07 au
1273,1273,18h 36m 56.76s,"+38deg 47' 08.4""",1.59982e+06 au
1274,1274,18h 42m 16.44s,"-09deg 03' 09.1""",1.18271e+07 au
1275,1275,18h 43m 02.14s,"-71deg 25' 45.1""",1.32646e+07 au
1276,1276,18h 43m 31.29s,"-08deg 16' 30.5""",3.30553e+07 au
1277,1277,18h 44m 19.36s,"-35deg 38' 31.8""",2.8529e+07 au
1278,1278,18h 44m 20.37s,"+39deg 40' 13.9""",1.02619e+07 au
1279,1279,18h 44m 22.79s,"+39deg 36' 47.1""",1.01408e+07 au
1280,1280,18h 44m 46.42s,"+37deg 36' 19.1""",9.71572e+06 au
1281,1281,18h 45m 27.03s,"-64deg 52' 20.2""",6.02937e+06 au
1282,1282,18h 45m 39.48s,"-26deg 59' 26.8""",1.45873e+07 au
1283,1283,18h 45m 39.71s,"+20deg 32' 38.4""",3.93861e+06 au
1284,1284,18h 46m 04.51s,"+26deg 39' 44.3""",1.59155e+07 au
1285,1285,18h 47m 01.42s,"+18deg 10' 56.4""",5.86479e+06 au
1286,1286,18h 47m 10.46s,"-04deg 44' 52.7""",4.36078e+07 au
1287,1287,18h 50m 04.80s,"+33deg 21' 45.5""",5.57472e+07 au
1288,1288,18h 51m 12.35s,"+59deg 23' 18.7""",2.03819e+07 au
1289,1289,18h 52m 13.03s,"-62deg 11' 15.7""",1.14592e+08 au
1290,1290,18h 53m 13.56s,"+50deg 42' 28.9""",2.13304e+07 au
1291,1291,18h 54m 10.18s,"-22deg 44' 41.5""",1.17196e+08 au
1292,1292,18h 54m 24.10s,"+71deg 17' 50.9""",2.17809e+07 au
1293,1293,18h 54m 30.27s,"+36deg 53' 55.1""",5.68223e+07 au
1294,1294,18h 54m 44.90s,"+22deg 38' 42.3""",3.07399e+07 au
1295,1295,18h 55m 07.34s,"-22deg 40' 17.5""",1.7089e+07 au
1296,1296,18h 55m 15.95s,"-26deg 17' 49.5""",1.4186e+07 au
1297,1297,18h 55m 20.15s,"+43deg 56' 47.9""",2.21077e+07 au
1298,1298,18h 56m 13.24s,"+04deg 12' 13.6""",8.34067e+06 au
1299,1299,18h 56m 14.73s,"+04deg 12' 08.4""",9.03086e+06 au
1300,1300,18h 56m 57.00s,"-67deg 14' 00.2""",3.43775e+07 au
1301,1301,18h 57m 03.77s,"-05deg 50' 47.7""",1.30796e+07 au
1302,1302,18h 57m 43.86s,"-21deg 06' 24.3""",2.35462e+07 au
1303,1303,18h 58m 27.80s,"-52deg 56' 19.3""",3.35936e+07 au
1304,1304,18h 58m 43.10s,"-37deg 06' 29.2""",6.17005e+06 au
1305,1305,18h 58m 56.62s,"+32deg 41' 22.5""",4.01293e+07 au
1306,1306,18h 59m 37.27s,"+15deg 04' 04.0""",9.7203e+06 au
1307,1307,19h 00m 00.84s,"+32deg 08' 44.1""",9.72947e+07 au
1308,1308,19h 01m 26.40s,"+46deg 56' 03.2""",8.07615e+06 au
1309,1309,19h 01m 40.79s,"-05deg 44' 21.8""",9.39703e+06 au
1310,1310,19h 02m 36.69s,"-29deg 52' 48.3""",5.63411e+06 au
1311,1311,19h 03m 07.00s,"-42deg 05' 43.5""",1.16206e+07 au
1312,1312,19h 04m 41.12s,"-21deg 44' 30.8""",8.78096e+06 au
1313,1313,19h 05m 24.60s,"+13deg 51' 46.2""",5.26454e+06 au
1314,1314,19h 06m 14.91s,"-04deg 52' 59.4""",7.91803e+06 au
1315,1315,19h 06m 25.31s,"-37deg 03' 55.3""",3.69055e+06 au
1316,1316,19h 06m 56.31s,"-27deg 40' 19.7""",7.61406e+06 au
1317,1317,19h 08m 21.07s,"-40deg 29' 48.8""",1.10479e+07 au
1318,1318,19h 09m 28.52s,"-37deg 54' 18.5""",8.20138e+06 au
1319,1319,19h 09m 45.83s,"-21deg 01' 25.9""",2.7836e+07 au
1320,1320,19h 10m 01.77s,"-39deg 20' 27.8""",3.21285e+07 au
1321,1321,19h 12m 33.71s,"+67deg 39' 43.8""",6.33881e+06 au
1322,1322,19h 13m 45.48s,"+39deg 08' 45.5""",6.58993e+07 au
1323,1323,19h 13m 55.09s,"+57deg 42' 16.8""",1.02415e+07 au
1324,1324,19h 15m 32.51s,"-25deg 15' 24.8""",2.08559e+07 au
1325,1325,19h 15m 32.38s,"+73deg 21' 22.3""",9.49217e+06 au
1326,1326,19h 16m 13.04s,"+21deg 23' 25.4""",5.76159e+07 au
1327,1327,19h 16m 22.09s,"+38deg 08' 01.5""",4.86474e+07 au
1328,1328,19h 17m 06.34s,"+53deg 22' 09.5""",7.78946e+06 au
1329,1329,19h 17m 38.06s,"-18deg 57' 10.7""",3.38694e+07 au
1330,1330,19h 20m 33.09s,"-05deg 24' 55.6""",9.74326e+06 au
1331,1331,19h 20m 40.15s,"+65deg 42' 53.3""",1.42056e+07 au
1332,1332,19h 21m 40.31s,"-17deg 50' 49.4""",7.69932e+06 au
1333,1333,19h 21m 43.63s,"-15deg 57' 18.2""",1.05777e+08 au
1334,1334,19h 22m 38.31s,"-44deg 27' 32.8""",2.39286e+07 au
1335,1335,19h 23m 13.35s,"-44deg 48' 00.5""",8.76976e+06 au
1336,1336,19h 23m 53.25s,"-40deg 37' 00.4""",1.0743e+07 au
1337,1337,19h 24m 07.60s,"+29deg 37' 17.1""",4.8994e+07 au
1338,1338,19h 25m 30.32s,"+03deg 06' 55.2""",3.17087e+06 au
1339,1339,19h 26m 31.09s,"+00deg 20' 18.8""",7.3666e+08 au
1340,1340,19h 28m 42.10s,"+24deg 39' 51.0""",1.87513e+07 au
1341,1341,19h 29m 42.41s,"+51deg 43' 50.4""",7.74558e+06 au
1342,1342,19h 30m 43.27s,"+27deg 57' 34.7""",2.43812e+07 au
1343,1343,19h 31m 46.32s,"+34deg 27' 10.6""",3.96663e+07 au
1344,1344,19h 32m 24.43s,"+69deg 38' 57.2""",1.18946e+06 au
1345,1345,19h 34m 05.71s,"+07deg 22' 40.3""",6.99203e+06 au
1346,1346,19h 34m 34.92s,"+19deg 46' 24.3""",3.84822e+07 au
1347,1347,19h 35m 12.97s,"-48deg 05' 58.1""",2.5185e+07 au
1348,1348,19h 36m 26.51s,"+50deg 13' 22.5""",3.83534e+06 au
1349,1349,19h 36m 42.56s,"-24deg 53' 01.6""",1.19643e+07 au
1350,1350,19h 36m 43.28s,"-01deg 17' 12.3""",1.94406e+07 au
