Star HIP,Magnitude,RA (degrees),Dec (degrees),Distance (AU),Color
11918.0,4.96,38.46116761995172,-28.23235312214142,28687733.837293,-0.05
12093.0,4.87,38.96843398175161,5.593089764687819,23519362.179986283,0.88
12387.0,4.08,39.87075230960048,0.3284932510605736,40925556.80276888,-0.212
12390.0,4.83,39.89218505117721,-11.87378130623978,5576231.596154745,0.447
12394.0,4.12,39.89896248833415,-68.26694232740019,9697452.106033074,-0.061
12413.0,4.74,39.9508341904848,-42.89177351264826,8201383.951592884,0.061
12486.0,4.11,40.16802120992968,-39.85556350193379,9200035.968146626,1.006
12623.0,4.91,40.561998271504166,40.192689944730375,5090444.388339865,0.582
12706.0,3.47,40.82415370245565,3.2348193486245647,5185138.428035571,0.093
12719.0,4.65,40.8629972128898,27.7070779665668,23386032.46181568,-0.122
12770.0,4.24,41.03057088190237,-13.85875412659699,27873622.47282597,-0.122
12777.0,4.1,41.05346121203353,49.22782876066897,2316801.15829535,0.514
12828.0,4.27,41.237585480747136,10.1139367957075,5328463.104374551,0.311
12843.0,4.47,41.27817252883147,-18.572312941622872,2882403.6755807134,0.481
12876.0,4.83,41.38717806247968,-67.6163141968088,18649620.820934422,0.058
13061.0,4.52,41.97842286605031,29.246253159484024,11421085.630316582,1.112
13147.0,4.45,42.2732899126529,-32.40480427655885,10681761.079365568,0.981
13209.0,3.61,42.4964746887523,27.25970511847044,10086298.603821583,-0.1
13244.0,4.76,42.617677068074926,-75.06713406763944,20792823.21127445,1.337
13254.0,4.22,42.6477974945478,38.31789442276793,8076147.476920402,0.343
13268.0,3.77,42.67441280376515,55.89540145751016,84189716.84164697,1.69
13288.0,4.76,42.759385752643965,-21.00413368330277,11555451.337091684,0.906
13328.0,4.56,42.87856780400969,35.05930750519153,25880151.35693436,1.554
13531.0,3.93,43.564396379436985,52.7624477230595,15685536.602592891,0.758
13701.0,3.89,44.10741482802078,-8.899657574829487,8422409.414890748,1.088
13847.0,2.88,44.56482838471556,-40.30449554567677,10201028.99855912,0.128
13879.0,4.68,44.690523279857736,39.66244879244802,20585310.012141373,0.065
13884.0,4.98,44.69951384007862,-64.0712469734303,19833154.44878658,0.126
13905.0,4.94,44.76492789976437,35.18316822504878,22155188.64863848,1.235
13914.0,4.63,44.80292740340597,21.34038379383941,18499085.7696926,0.048
13954.0,4.71,44.92882156128987,8.90726222424387,26822471.561344795,-0.109
14135.0,2.54,45.56980256653648,4.089192236461746,13918003.129316969,1.63
14146.0,4.08,45.59682166369839,-23.62485513228305,5449532.537587593,0.163
14328.0,2.91,46.19913379629461,53.50641128856282,16215786.660394864,0.716
14354.0,3.32,46.29527551880665,38.83954055339369,20564786.28031767,1.528
14382.0,4.77,46.38487839400694,56.706202854477446,12931962.780441338,1.018
14576.0,2.09,47.04223659645587,40.95563775992451,5869800.981269984,-0.003
14632.0,4.05,47.28014817297457,49.61264652162861,2172809.5563259404,0.595
14668.0,3.79,47.3757265327028,44.85656659506292,7100337.575549226,0.98
14817.0,4.61,47.82218934026454,39.61161523517836,19295117.52302337,1.115
14838.0,4.35,47.90848585554821,19.726619657836043,10610329.550332628,1.033
14862.0,4.85,47.9848273927167,74.3930662337019,10236466.815866925,0.035
14879.0,3.8,48.02178648963312,-28.983406691246785,2910877.9007264064,0.543
15110.0,4.87,48.725180630867264,21.043910555809404,21508321.82870942,-0.007
15197.0,4.8,48.95840898985215,-8.819416744456532,7588844.975854184,0.232
15382.0,4.86,49.59219154253706,-22.511028099088172,16127037.24211986,0.904
15416.0,4.85,49.682614301248485,34.222592898246475,93332491.5216042,1.491
15457.0,4.84,49.842252573741874,3.370841231662533,1889217.872112608,0.681
15474.0,3.7,49.879554991959175,-21.75764234222598,16331338.58554417,1.614
15510.0,4.26,50.0104799055636,-43.06478115687089,1249938.3923687653,0.711
15520.0,4.74,49.99715759982711,65.65219386154043,50679313.57895682,-0.108
15549.0,4.47,50.08477206487046,29.04834549710272,40523537.5804786,1.555
15648.0,4.96,50.36008975020507,43.329648177735294,9822133.637728138,0.051
15863.0,1.79,51.0809670367737,49.86100068168352,37434629.08952443,0.481
15900.0,3.61,51.20279025412557,9.028317454728931,13376446.58848714,0.887
16083.0,3.73,51.792676810076685,9.73241755121024,14050736.12860408,-0.082
16147.0,4.99,52.01302054133696,49.06268171851503,36060280.8189841,-0.091
16228.0,4.21,52.26721160010023,59.94031738764123,271401060.8564966,0.419
16244.0,4.67,52.34211063761629,49.50874755270525,35319316.144766815,-0.096
16245.0,4.71,52.35028017256445,-62.93496085776893,4421539.273549703,0.41
16281.0,4.55,52.47807342783696,58.87874182604866,156261216.859006,0.489
16335.0,4.36,52.6436975409075,47.99534074689358,22347216.28426907,1.367
16341.0,4.74,52.65449885137901,-5.07509498828208,24068238.7757422,-0.092
16369.0,4.14,52.71837665314191,12.936667431301784,22791691.30552949,1.112
16537.0,3.72,53.22587515588049,-9.458138200195958,663764.4761553771,0.881
16611.0,4.26,53.44731610557775,-21.63307166831265,18717314.548239004,-0.106
16826.0,4.32,54.12263279183235,48.19244393847994,44262833.96530399,-0.058
16852.0,4.29,54.21666279815236,0.3983463687996146,2829809.4052528027,0.575
16870.0,4.57,54.273692582167705,-40.27464318941919,13861882.14469598,1.023
17304.0,4.99,55.56213634753183,-31.93826339996397,46351641.858567774,-0.159
17313.0,4.97,55.59439738901264,33.96499048879219,58431956.4507606,-0.048
17351.0,4.59,55.70777896022942,-37.31400964850945,11246717.904497996,1.191
17358.0,3.01,55.73150554997616,47.7872629760469,33376182.2476206,-0.125
17378.0,3.52,55.81145073135848,-9.758289350611957,1865299.4077577328,0.915
17440.0,3.84,56.05488923306641,-64.80636097704885,6305863.8512010295,1.133
17448.0,3.84,56.07978277065751,32.28817718208396,93332491.52157632,0.022
17499.0,3.72,56.21906788389353,24.11303024688355,23439182.53595164,-0.105
17529.0,3.77,56.29832977032671,42.57856065438188,35198772.403511725,0.425
17531.0,4.3,56.30220664776288,24.46699126265401,23573120.721701626,-0.11
17573.0,3.87,56.45685355262901,24.36743878275756,22766534.9136908,-0.063
17587.0,4.78,56.50969985767264,63.34498942701807,50555099.57503272,0.747
17593.0,4.43,56.53595594871102,-12.101176488948132,31442805.839664705,1.604
17608.0,4.14,56.58171697104348,23.94806486156604,22716388.360976364,-0.051
17651.0,4.22,56.71083460267838,-23.25335797819454,3697164.499037893,0.434
17678.0,3.26,56.81104805367533,-74.2381694516091,13543322.803378455,1.59
17702.0,2.85,56.87129797388492,24.10484062578152,23254205.898074787,-0.086
17797.0,4.3,57.150153392001386,-37.62022825600683,10195986.473311946,-0.038
17847.0,3.62,57.290727828028814,24.053108015022,24068238.77641302,-0.07
17874.0,4.17,57.363100240305066,-36.2006396302873,13273153.560821006,0.927
17884.0,4.39,57.38029975906102,65.52587630816564,61025090.61019681,1.87
17959.0,4.59,57.59001386617305,71.33197678481147,21198849.567278337,0.064
18216.0,4.64,58.42816242428852,-24.61227935629568,24381182.777472712,-0.136
18246.0,2.84,58.53304197245491,31.8835725827286,62127953.69571617,0.271
18255.0,4.46,58.5731071664656,-2.9547196046894846,21803890.730829343,0.672
18488.0,4.99,59.28448735925927,61.108786146236405,117195912.64547798,1.435
18505.0,4.95,59.35613718922914,63.072305371106864,21374591.325543527,-0.074
18532.0,2.9,59.46357462855786,40.01004917576444,34037096.74709434,-0.199
18543.0,2.97,59.50778790728047,-13.509281133742922,13984054.670085482,1.588
18597.0,4.56,59.68659659864839,-61.40028453131335,33538992.88769084,1.59
18614.0,3.98,59.74127095168815,35.79104841877652,112100438.18430392,0.016
18673.0,4.62,59.98126671904823,-24.01609776460057,20940589.472415067,-0.121
18724.0,3.41,60.17000819603771,12.490264191315328,23412577.33366348,-0.099
18744.0,4.48,60.224223464735466,-62.15904387621212,31017264.099554077,1.5
18772.0,4.97,60.32657911938615,-61.07817168436123,20940589.472277086,1.386
18907.0,3.91,60.78912167201115,5.989293923143091,8172139.715615748,0.032
19018.0,5.0,61.11314945718868,59.155504650065126,109715322.47674364,0.495
19038.0,4.36,61.17449592464717,22.081523143527928,11433747.583351707,1.064
19167.0,4.25,61.64587363534172,50.35101164934119,21919745.62205192,-0.011
19343.0,3.96,62.1655845846682,47.71228397392954,35019491.72919289,-0.025
19515.0,4.93,62.71263111992698,-41.99309791822282,11083546.82643802,0.334
19587.0,4.04,62.96650006815718,-6.8370220664181325,7939368.992773528,0.327
19740.0,4.84,63.48487342340819,9.263613593221738,23492574.750527624,0.799
19747.0,3.85,63.50086593928786,-42.295768624209146,7406276.713488352,1.085
19777.0,4.87,63.598649482865575,-10.257397931076564,13054734.58336246,1.156
19780.0,3.33,63.60680172410882,-62.473516009088506,10323563.878413765,0.915
19811.0,4.67,63.72224461416622,40.48352305246208,39666308.90005634,1.007
19812.0,4.12,63.72447789034148,48.409211608131336,45734990.30449997,0.935
19849.0,4.43,63.80245820470029,-7.676392468749483,1040480.4932978274,0.82
19860.0,4.27,63.88371383663696,8.89220742562838,27501974.173377063,-0.054
19893.0,4.26,64.00771756524543,-51.485380732742726,4187267.69196634,0.312
19921.0,4.44,64.1203061253197,-59.30331041134988,3761210.912423476,1.078
19990.0,4.93,64.31495244186426,20.578168298583,5915251.118340344,0.259
20042.0,3.55,64.47410864528868,-33.79839425675502,11289808.77617946,-0.108
20070.0,4.6,64.56140998882776,50.29511413322712,20123395.7382922,0.043
20205.0,3.65,64.94917230861901,15.627478199055632,9743259.632842297,0.981
20250.0,4.97,65.0881738101818,27.350224190215723,21643736.23587264,1.15
20252.0,4.93,65.10245144696158,34.56667710892338,14304078.109549738,0.95
20354.0,4.8,65.3884089332828,46.49863736523869,29340655.233493645,-0.022
20455.0,3.77,65.73449913492655,17.542315830222115,9688342.246260906,0.983
20535.0,3.97,66.00985079292029,-34.016450395339305,17260653.248865623,1.468
20542.0,4.8,66.02479721095146,17.443900040549863,9224723.006785251,0.154
20635.0,4.21,66.34313953569145,22.29357008234148,9697452.112010349,0.136
20648.0,4.3,66.37321509849451,17.927686909053996,9354412.989925357,0.049
20711.0,4.28,66.57774214425812,22.813267309970318,9789501.965965724,0.263
20713.0,4.48,66.58724040715528,15.618036214582162,9888053.999230262,0.262
20732.0,4.69,66.6514970450269,14.71356767197648,28767755.411062703,0.979
20877.0,4.96,67.10993354633136,16.359794621792453,12292300.736503229,1.137
20885.0,3.84,67.14448231800401,15.9620774820788,9983775.721852671,0.952
20889.0,3.53,67.15494560787045,19.18017863060483,9803460.38117972,1.014
20894.0,3.4,67.16636373820737,15.870701138213468,9422786.954092616,0.179
21029.0,4.78,67.6408888210885,16.193841534081535,9151056.185726097,0.17
21139.0,4.91,67.96942111437356,-0.044067200791018,52484683.52980156,1.32
21248.0,4.49,68.37639658708189,-29.76835970855276,7866697.429639355,0.972
21273.0,4.65,68.46289511464506,14.84424601841024,9643048.453338472,0.255
21281.0,3.3,68.49977013161268,-55.04488705448535,11113405.511775143,-0.079
21393.0,3.81,68.88726986239597,-30.56242915575786,13205173.260245863,0.957
21402.0,4.25,68.91389765106311,10.16042909751244,9514059.335770415,0.184
21421.0,0.87,68.98061141504657,16.50799892920317,4117883.9424675736,1.538
21444.0,3.93,69.07976855495372,-3.3524902586936487,37097986.741223045,-0.21
21476.0,4.25,69.17257299993868,41.26467603079216,40603308.32232532,1.171
21589.0,4.27,69.5401436952323,12.51073552925863,9466030.583539711,0.122
21594.0,3.86,69.54454756945222,-14.305244491081783,6912359.467724974,1.082
21644.0,4.99,69.7226873681796,-12.123242846678224,14383877.708590465,0.074
21683.0,4.67,69.81934697960742,15.91784239773926,10056792.120796287,0.147
21763.0,4.32,70.11067021501216,-19.672160638381875,22842171.2427722,1.599
21770.0,4.44,70.13916480023765,-41.86426794477502,4152703.976037889,0.342
21881.0,4.27,70.56123579800017,22.95678620089015,25339656.79351963,-0.112
22109.0,4.01,71.37574865411675,-3.2547504079904668,33648418.64353104,-0.148
22449.0,3.19,72.46325527520533,6.961355619154088,1655415.7912818613,0.484
22453.0,4.89,72.47732677484679,37.488539506289314,33376182.24765373,1.447
22509.0,4.35,72.65300121004094,8.899958705656143,12248503.940197738,0.01
22549.0,3.68,72.8014912069224,5.605111048777258,79638921.33700106,-0.157
22667.0,4.71,73.13315696843189,14.250255779438596,34263256.85922754,1.773
22678.0,4.79,73.15802851143621,36.70316014496255,35501687.8282499,1.414
22701.0,4.36,73.22349976774757,-5.452522902933085,14333898.98067282,0.257
22783.0,4.26,73.51255561570454,66.34272833642964,438861289.8916028,-0.008
22797.0,3.71,73.5629118203214,2.4406736319490308,84882636.32160948,-0.179
22845.0,4.64,73.72414618963187,10.149950148416798,7628136.333575115,0.085
22957.0,4.06,74.09225990536778,13.514149626364867,10709491.504966913,1.158
23015.0,2.69,74.2484413365634,33.16596278235687,32380660.327272754,1.49
23040.0,4.43,74.32137121124403,53.75215297542355,23763226.531112257,-0.017
23123.0,4.47,74.63708043770689,1.71396124291001,60311346.86174741,1.369
23179.0,4.93,74.81460986210031,37.88957189599495,10061697.87281442,0.037
23231.0,4.78,74.98252279951028,-12.538013329157682,18400071.929611783,0.267
23362.0,4.91,75.3568545655217,-20.052024771029803,13222102.96963715,-0.047
23364.0,4.8,75.35976834726402,-7.17392998457898,60488212.98117007,-0.164
23416.0,3.03,75.49222738929704,43.82329246553174,128915503.9096873,0.537
23453.0,3.69,75.61960989622557,41.07569004031043,49822416.9736125,1.154
23497.0,4.62,75.77445712568706,21.589681432519846,10308086.275970232,0.155
23522.0,4.03,75.85445669304755,60.442143852711766,63077922.40415362,0.921
23595.0,4.55,76.10274129233224,-35.48328347551542,11699648.687468838,1.177
23607.0,4.65,76.14242085128956,15.403892111588652,25308565.1899983,-0.064
23685.0,3.19,76.36541100737094,-22.371530204182992,14333898.980416046,1.46
23693.0,4.71,76.37732456557775,-57.47189611011607,2403178.4507562714,0.526
23767.0,3.18,76.6289997668872,41.23400391685033,13871204.192400092,-0.148
23783.0,4.98,76.66897021414593,51.59652384445274,5408096.657398377,0.343
23835.0,4.91,76.86641649172806,18.645179337775943,3273005.5124737285,0.657
23875.0,2.78,76.96186207943164,-5.0869650508580735,5618763.456271325,0.161
23972.0,4.25,77.28659570725753,-8.754094779340335,110895057.12732372,-0.187
24010.0,4.81,77.42476201214646,15.597121326834085,20143047.49091055,0.313
24244.0,4.45,78.07476805750392,-11.86943347919727,15244996.77156222,-0.099
24305.0,3.29,78.23324719777568,-16.20557914467715,11659966.44081229,-0.11
24327.0,4.36,78.30773749342745,-12.941300612985128,35379898.16059925,-0.094
24331.0,4.46,78.32286012305377,2.8612994488697514,21734963.782879744,1.166
24340.0,4.82,78.35699291911482,38.48399988063851,10272151.71156438,0.189
24372.0,4.81,78.43971499854743,-67.18498708070767,34550218.803299926,1.274
24436.0,0.18,78.63448111089834,-8.201644400104247,48877916.17742298,-0.03
24608.0,0.08,79.17307691674736,45.995053155861626,2668712.733057412,0.795
24659.0,4.81,79.37199416608601,-34.89752224667232,6961350.208619912,0.987
24674.0,3.59,79.40151870093416,-6.844475241135365,35079048.686735936,-0.115
24727.0,4.54,79.54428329822096,33.370505579089524,14817874.022593085,1.252
24813.0,4.69,79.7899800105549,40.09447872921082,2608305.6220104704,0.63
24822.0,4.96,79.81932124891158,22.09593628339885,13029994.084238736,0.937
24845.0,4.29,79.89383435966349,-13.176821101173092,68074193.48569554,-0.235
24927.0,4.7,80.11223989999046,-21.23983156301106,29010521.276849475,-0.048
25044.0,4.72,80.44061948514052,-0.3824536731948342,81527591.40724584,-0.168
25142.0,4.99,80.70832014154323,3.544464847003528,60845075.59442419,-0.096
25247.0,4.13,80.9866876639705,-7.808372710413297,11024308.19588805,0.943
25278.0,5.0,81.10790208881608,17.383482964417617,3024854.183721505,0.544
25281.0,3.35,81.11923270322552,-2.3971683192641544,56979228.25016255,-0.24
25302.0,4.89,81.18677815304733,1.8464405259416468,70158097.36817496,-0.2
25336.0,1.64,81.28270218451688,6.349610893572341,15369955.761475192,-0.224
25428.0,1.65,81.57315483502168,28.6062516803016,8287055.301838263,-0.13
25473.0,4.59,81.70928721598435,3.0956668481412835,89680350.5474135,-0.199
25539.0,4.88,81.90870105391748,21.936917400515007,43979702.82990808,-0.14
25606.0,2.81,82.06130960114143,-20.760031929827235,10066608.411553295,0.807
25737.0,4.71,82.43325822762029,-1.0924183390614393,28848224.65521381,1.592
25813.0,4.2,82.69609448146204,5.947915854159467,18253522.68215775,-0.143
25859.0,3.86,82.80338863289245,-35.470753427569136,17524622.4544839,1.13
25923.0,4.62,82.98274611876427,-7.301567579578826,97755832.3493613,-0.261
25930.0,2.25,83.0016811601361,-0.2990881854511155,57939552.321580224,-0.175
25945.0,4.32,83.05312685783484,18.59420326746748,121332238.97415544,2.06
25984.0,4.71,83.1819559288703,32.19199416467187,257831007.81401148,0.281
25985.0,2.58,83.182589949782,-17.822277932333737,81206616.63695844,0.211
26069.0,3.76,83.40633948107892,-62.48973892746968,65689428.74208554,0.64
26176.0,4.39,83.70514593155092,9.489562101921331,62315651.43929186,-0.157
26199.0,4.78,83.76117714958913,-6.002022339002246,117865603.57448216,-0.248
26207.0,3.39,83.78448069094321,9.934145626359175,66752364.48638047,-0.16
26220.0,4.98,83.81592035794225,-5.3873141498609485,206264806247098.72,--
26235.0,4.98,83.84543161604566,-5.416049345858962,119921398.98560265,-0.097
26237.0,4.58,83.84654701063948,-4.83840700528881,49702362.95589852,-0.183
26241.0,2.75,83.85827598978304,-5.909905609975732,83847482.21897808,-0.21
26311.0,1.69,84.05339958914927,-1.2019271161147091,84882636.32052547,-0.184
26366.0,4.09,84.22729114105711,9.28858046624993,7340384.578887789,0.951
26451.0,2.97,84.41120830988115,21.142425059459523,26376573.694108862,-0.148
26549.0,3.77,84.68656506294315,-2.6000716320431283,72628452.90866308,-0.19
26563.0,4.77,84.72107510950377,-7.213169675975386,9711149.074925074,0.139
26594.0,4.5,84.7964483196852,4.121467322330989,102619306.59550424,-0.098
26634.0,2.65,84.91224860197684,-34.074273272072055,16962566.30639726,-0.12
26727.0,1.74,85.18972387670865,-1.942554763755579,51695440.16689901,-0.199
