RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz
0.3970285892647786,-77.06694152787097,4.78,1.254,1.1127332463327904e+18,-7.741859298180234e+17,-1.7981802275399306e+18
0.4904014456199904,-6.014356322842632,4.37,1.631,4.549261615861477e+18,-7.440095193391196e+17,-1.7333814003830954e+17
0.9351634947056436,-17.33603777380153,4.55,-0.047,2.7032697907808973e+18,-7.438312082776997e+17,-4.045322651402048e+17
1.1254483577273542,-10.50960501651364,4.99,1.619,1.558787479638897e+19,-4.8387179710770003e+17,-2.534590907095855e+18
1.3338632049942485,-5.70701159434312,4.61,1.029,1.854613712280597e+18,-7.492644627765862e+17,1.1710183435175474e+17
2.0979786941863345,29.089311163474704,2.07,-0.038,1.4471505999054894e+18,-7.480466652690527e+17,6.844895302864015e+17
2.301541226855566,59.1485382275658,2.28,0.38,9.091643540700276e+17,-7.668153694892241e+17,6.803297296584001e+17
2.3538790103738108,-45.74866509811286,3.88,1.013,1.569309676590831e+18,-7.39437832900621e+17,-7.114199409810235e+17
2.815470948633589,-15.469829762251422,4.89,0.487,1.2062360267956856e+18,-7.498329267331276e+17,8.25338195587759e+16
3.309003624611514,15.183539225412067,2.83,-0.19,3.6819719493272556e+18,-6.018457040092335e+17,1.0635269032022376e+18
3.651349762110293,20.20671469611751,4.79,1.572,3.5321973298252877e+18,-5.931911710951168e+17,1.3027723460720627e+18
3.659869098740428,-18.93337307345101,4.44,1.64,5.045190637148171e+18,-4.959833644251606e+17,-1.274412064540842e+18
4.27246884570513,38.68151251138633,4.61,0.059,2.510158949464588e+18,-6.380971827347105e+17,1.7353231974187156e+18
4.581332531646425,36.78493184413622,4.51,0.054,1.711115371361647e+18,-6.920107759659516e+17,1.0375580236408772e+18
4.856877292524707,-8.82418171525453,3.56,1.214,3.343427071624593e+18,-5.4814848072301e+17,-1.8238589769103446e+17
5.045400978171957,-64.86677022396391,4.23,0.576,7.5733542987091e+17,-7.675223153676369e+17,-2035319370964096.0
6.506998979947076,-77.25199889343968,2.82,0.618,6.957290354661089e+17,-7.71658083113511e+17,1.3032907990004768e+16
6.551850407043493,-43.67960364597996,3.93,0.175,1.1666977663682706e+18,-7.175260841821971e+17,-2.6330813041797642e+17
6.573210640055541,-42.30841381553527,2.4,1.083,1.1831257115240202e+18,-7.154360835464113e+17,-2.54892476297937e+17
6.981908731192464,-33.00751365989108,4.86,1.634,4.961957194403515e+18,-2.4877343598187706e+17,-2.5871118681756503e+18
7.85555608308055,-48.80338041844083,4.76,0.018,1.7064788293471299e+18,-6.309948032684019e+17,-9.859619578677688e+17
7.887358768042954,-62.958591552839344,4.36,-0.064,1.2402787028217354e+18,-6.949802234465165e+17,-9.390348112444557e+17
7.890781427482598,-62.965876050654,4.53,0.147,1.3782706956860956e+18,-6.75818648198861e+17,-1.2124254521955863e+18
7.943645439726753,54.52218685362289,4.74,-0.098,2.573126782132895e+18,-5.084013642540002e+17,2.9693378464392e+18
8.25002553307195,62.93176826039628,4.17,0.13,1.823541531355301e+19,1.7730477039541033e+18,3.5019367797352337e+19
9.2203328425703,33.719319127255105,4.34,-0.123,5.742623118661935e+18,5.003946478120179e+16,3.6846050489836733e+18
9.243059946662951,53.8968464274673,3.69,-0.196,3.9320181736500567e+18,-2.4253576188777792e+17,4.804178909325031e+18
9.637131219571549,29.31000379691044,4.34,0.871,2.0167868850207114e+18,-5.4451817433690394e+17,1.0190624887914705e+18
9.832906891636195,30.86045267193544,3.27,1.268,1.455948833310486e+18,-6.368987702098561e+17,7.297145486753962e+17
10.12746369697223,56.53710979472115,2.24,1.17,1.8189131533227075e+18,-5.67768121887837e+17,2.0419573851780948e+18
10.331178587238778,-46.084999635615056,4.59,0.953,2.2414663302827013e+18,-4.864304548721233e+17,-1.447257758232717e+18
10.51636460002619,50.51248118552076,4.8,-0.105,7.207341083753678e+18,4.4074120696078784e+17,8.338160378301109e+18
10.838427544059812,-57.46295331853858,4.36,0.024,1.8463633249144817e+18,-5.474490701131224e+17,-1.6790181245846784e+18
10.866709890986527,47.024290635024265,4.95,0.17,1.7492647586162081e+18,-5.654740740946505e+17,1.4446556265138437e+18
10.899062878153684,-17.986379561895237,2.04,1.019,1.491805029637997e+18,-6.144021401359219e+17,-4.191488198169987e+16
11.047456816968651,-10.610333719221485,4.77,0.998,2.560705106060273e+18,-4.0343484597300685e+17,-1.2761388441474486e+17
11.181507688575676,48.28431168280281,4.48,-0.069,6.240629842329262e+18,3.2863032086108365e+17,6.636212957629539e+18
11.83392543881112,24.26661472495898,4.08,1.1,2.1764650259938924e+18,-4.5657322684536646e+17,9.433316856909889e+17
12.171178129937884,7.584731955059808,4.44,1.5,3.442137952950379e+18,-1.741704557761262e+17,6.190058309369437e+17
12.208753117457066,50.968100116695126,4.9,-0.091,2.914326925908523e+18,-2.8645176705868883e+17,3.10177242925946e+18
12.290249448328716,57.81133639237829,3.46,0.587,7.407674616530368e+17,-7.565971461759308e+17,3.93455877646469e+17
12.45373731030204,41.07878671193715,4.53,-0.136,5.377049089339526e+18,2.6760089217481472e+17,4.4622033971279386e+18
13.252104250591035,-1.144372236623221,4.78,1.55,5.42693059309804e+18,3.487169761080041e+17,1.398711547401839e+17
13.266511091971148,61.12513714483894,4.8,0.54,9.144860821311739e+17,-7.139260959845317e+17,7.397852240970327e+17
13.750221994265996,58.97241778339134,4.83,1.216,2.5715362955886444e+18,-3.060366954871454e+17,3.535028837220532e+18
14.165028681441536,59.18074381952912,4.62,0.957,1.6128643924634017e+18,-5.331874012006963e+17,1.910970740588641e+18
14.177576241595771,60.716714091567454,2.15,-0.046,3.3958007528258565e+18,-8.255209799787302e+16,5.297032438995813e+18
14.18972424894549,38.499597843337085,3.86,0.13,1.6235311250265208e+18,-5.30046621460134e+17,1.04071567512268e+18
14.301338871467,23.41733120275678,4.4,0.94,2.6866878044273306e+18,-2.5699616369447328e+17,1.1504622558698496e+18
14.651680850872063,-29.357405707910832,4.3,-0.154,6.010090377901703e+18,6.252025385353914e+17,-2.881157827032641e+18
15.735308986058248,7.89031347303777,4.27,0.952,2.361591670769422e+18,-2.938171471725866e+17,4.8514418471324634e+17
16.52032452712127,-46.71819622982267,3.32,0.885,1.8773585915794903e+18,-4.1195650893295194e+17,-1.1267448327012749e+18
17.096429406455808,-55.24555585684016,3.94,-0.12,2.0871131199882332e+18,-3.339215150342629e+17,-1.9362992475055565e+18
17.148973063108787,-10.183215652300712,3.46,1.161,1.6917110483594988e+18,-4.5448526301628614e+17,4.126925124446762e+16
17.195453549710916,86.25701218704398,4.24,1.213,8.296609632872947e+17,-7.203293073994331e+17,3.1901986861090847e+18
17.375561324321097,47.24170289467086,4.26,0.012,5.15830265641681e+18,6.347935419172522e+17,5.352250639098786e+18
17.434500656498187,35.6197857276719,2.07,1.576,2.1079633971723249e+18,-3.180435397732419e+17,1.3364973550755395e+18
17.778402869149602,55.14976752928888,4.34,0.17,1.3527353411942333e+18,-5.505424308417903e+17,1.3051308570070684e+18
17.8637245042038,21.034577469782253,4.66,1.024,4.3395640673440804e+18,4.132516403593051e+17,1.730674824309748e+18
17.915743975035,30.089379502423625,4.51,1.092,1.9084311423376164e+18,-3.6901701032568134e+17,1.0072864015308709e+18
18.4374203424592,24.58356691183804,4.67,1.047,3.7261593205318113e+18,2.4972160414732454e+17,1.7237928345187663e+18
18.802861769025903,-45.53043863515824,4.97,0.571,9.531952049400082e+17,-6.725449308908205e+17,-9.34792472239366e+16
18.95018244330686,-68.87505043225387,4.25,0.48,8.600815945475308e+17,-7.036313592307482e+17,-3.501350390396576e+17
19.866849031399227,27.2639786462788,4.74,0.032,3.104329856714968e+18,1.1117225921907418e+17,1.585516172949219e+18
20.02046710937374,58.23159571169619,4.95,0.683,1.1548151592496726e+19,3.1953498571074847e+18,1.8976778201772966e+19
20.585398881166025,45.52883784544765,4.87,1.077,1.8583946444845292e+18,-3.21753721897565e+17,1.558135881719077e+18
21.005309594658005,-8.184679494722316,3.6,1.065,1.6463270385374833e+18,-3.930073426867306e+17,8.375629843872387e+16
21.405447901698725,-14.598914934909953,4.9,1.231,3.1032657420687544e+18,1.861649282691826e+17,-4.4967033468639936e+17
21.458086204034142,60.23494261102847,2.66,0.16,1.0796939646782642e+18,-6.066254232341407e+17,1.0544063623787695e+18
21.4848100635237,68.13019701078169,4.72,1.047,1.2784093502497608e+18,-5.281761699582462e+17,1.9334746305095677e+18
21.917587997556417,45.40593509756259,4.83,0.421,1.2140346497588306e+18,-5.4853679061913683e+17,8.5995059250763e+17
22.091190613285704,-43.3196625581622,3.41,1.542,2.1373875489860767e+18,-1.7176227703432e+17,-1.2806584539876416e+18
22.54834134864092,6.143501580894638,4.84,1.372,3.776066597443843e+18,5.2253408046735296e+17,6.028995626144796e+17
22.81438709117935,-49.07164154092847,3.93,0.972,1.4864016495844803e+18,-4.23551777825869e+17,-8.145259333689362e+17
22.871056134394195,15.345800382789626,3.62,0.974,3.117440318001878e+18,2.6543485063539226e+17,9.743586520694747e+17
23.482241424529324,59.23188084568045,4.68,0.991,1.552313057229445e+18,-3.833186944951108e+17,1.8992754513872952e+18
24.19776250475581,41.40283808166952,4.1,0.536,9.294920021738822e+17,-6.496552584207599e+17,5.128506505929244e+17
24.42964611674067,-57.23703311061782,0.45,-0.158,1.315520504292261e+18,-4.729184356863608e+17,-9.061031798611013e+17
24.498784226664792,48.62743989205226,3.59,1.275,1.6344441604046628e+18,-3.2660836280006765e+17,1.4723378187024515e+18
25.145221697686384,40.57688747905262,4.96,-0.068,5.074397455630371e+18,1.3016451930476221e+18,4.4283225130568044e+18
25.357735580425697,5.487638056821011,4.45,1.347,3.777932617823961e+18,7.072930957501446e+17,5.710630202923992e+17
25.453824947473137,42.61212933209541,4.96,0.618,9.044225838384777e+17,-6.540202363115508e+17,5.021497669274399e+17
25.681211611836503,-3.690436953618045,4.98,1.378,1.088554630409638e+19,4.146804195991235e+18,-4.9489218625836954e+17
25.91541751873087,50.68863898731795,4.01,-0.098,4.509610112008201e+18,1.1003356127025171e+18,5.485185611316789e+18
26.004696254874776,-15.931604718523872,3.49,0.727,7.424273960272294e+17,-7.299754125847456e+17,2.0711046441228102e+17
26.34895405180304,9.158003969437589,4.26,0.942,2.8065938477191685e+18,2.931202020387017e+17,6.268524669826666e+17
27.39521907940048,-10.687060100096954,4.66,0.333,1.2808499497692925e+18,-4.479826658952895e+17,1.028842556171111e+17
27.865411110423214,-10.3352993546938,3.74,1.136,2.776743554066775e+18,3.4954261909739546e+17,-2.0171371947624125e+17
28.270544618366586,29.57722187261977,3.42,0.488,1.1097800312478674e+18,-5.2756164688125056e+17,5.3741397662689395e+17
28.383138453224795,19.29317013578968,3.88,-0.047,2.2506238112980582e+18,9.003480778394125e+16,8.768057933921997e+17
28.38912319974112,3.1877009251266406,4.61,0.928,2.2292791772631823e+18,7.87157097530345e+16,3.382890304991157e+17
28.41050394500296,-46.30329766390707,4.39,1.597,2.4924483204693576e+18,2.218370481470331e+17,-1.9600238905444137e+18
28.59935224955399,63.66997314447979,3.35,-0.15,2.2734161238046628e+18,1.1030444668943718e+17,3.9854163604246006e+18
28.66074689810932,20.807286676296933,2.64,0.165,1.1075365780067561e+18,-5.2469351515562554e+17,4.38246268710629e+17
28.73525540738888,-67.64679997534982,4.68,0.931,1.3293514616491948e+18,-4.022944730244862e+17,-1.659503717449723e+18
28.99701297381737,-51.60694034708662,3.69,0.844,9.382467805475008e+17,-6.14985045017112e+17,-1.848835446662854e+17
29.000369671983417,68.68517486700316,4.97,-0.084,2.754839959715908e+18,3.92006764879887e+17,6.420045660062659e+18
29.167954855923167,-22.52699255024503,4.92,1.434,3.687761184794621e+18,9.207940682433701e+17,-1.2072254574427407e+18
29.293034606265536,-47.3852168347433,4.82,0.864,2.1362261163806351e+18,5.908322181126451e+16,-1.6203037299915538e+18
29.48146806949714,23.595961575113765,4.79,0.29,1.6502957671804995e+18,-2.0917635663582848e+17,7.423590353572317e+17
29.696266027424567,-61.569674029328105,2.86,0.29,9.241574912976197e+17,-6.18312455653501e+17,-3.5525679700310515e+17
30.00226364343148,-21.078000255927574,3.99,1.554,2.945395994966248e+18,5.50737329550991e+17,-7.857458134719464e+17
30.48824096871556,70.9069464812232,4.49,0.164,9.568005883436204e+17,-5.939415140851724e+17,1.282780289490361e+18
30.51197954241612,2.7637565785253635,3.82,0.024,1.7774954947299558e+18,-1.1011019084560448e+17,3.014523426227471e+17
30.575850664657324,54.48751780257151,4.99,-0.071,4.1444983262767667e+18,1.290086929274927e+18,5.933566762321576e+18
30.857770252455325,72.42144911777717,3.95,-0.002,1.0427774412017989e+18,-5.3985443401391226e+17,1.700046414117498e+18
30.97520527560156,42.329374958192304,2.1,1.37,2.7734560014651423e+18,5.001303380787278e+17,2.499047208819952e+18
31.12275940645638,-29.29676015018269,4.68,-0.156,3.196326416360958e+18,7.629187639041524e+17,-1.4341400698629734e+18
31.794793042472943,23.46142045880772,2.01,1.151,1.1313879935092672e+18,-4.7601273522181235e+17,4.862904203148631e+17
32.12325932429199,37.858777106160346,4.78,0.12,1.8971503066943324e+18,8654776038713600.0,1.3871303082000394e+18
32.35616086233781,25.939664552507747,4.98,0.339,2.945474659476193e+18,6.799306810615436e+17,1.5626061725134845e+18
32.387194284714965,34.98702775434603,3.0,0.14,1.458737090557165e+18,-2.6136899611233875e+17,9.122890309862717e+17
33.09231991979113,30.30264657486612,4.94,0.77,2.735031637789985e+18,5.845453622234438e+17,1.6958265060817636e+18
33.24979866167504,8.846618254861736,4.36,0.878,3.475184768771043e+18,1.0780056490113069e+18,7.646991611312785e+17
33.30531930492678,44.23154706432287,4.84,1.476,3.7985020724685225e+18,1.2943520083653494e+18,3.91116927887293e+18
34.12844191494999,-51.51231526316686,3.56,-0.12,1.3999848504786995e+18,-2.6582417455088666e+17,-9.088736641124017e+17
34.273038252837225,34.222536158523035,4.84,0.607,8.738396808618698e+17,-6.215885929983091e+17,4.262288775296465e+17
34.328985520774765,33.846833001440004,4.03,0.019,1.408368830379025e+18,-2.5623393126708704e+17,8.577904295416489e+17
35.43631506782431,-68.65940168877292,4.08,0.034,1.0247935610441828e+18,-5.0727181202101005e+17,-9.545875002662845e+17
36.4061839638173,50.27853228610331,4.73,1.532,2.322837297573084e+18,4.5974426553702106e+17,2.74689801895242e+18
36.487439546843824,-12.29055783507767,4.88,-0.027,4.5738800367410734e+18,2.1283416527757353e+18,-8.265921095754266e+17
36.74654704428184,-47.70387754778872,4.24,-0.136,3.3419800469904036e+18,1.236132277743575e+18,-3.461244496207606e+18
37.040050491579365,8.459954097670764,4.3,-0.053,1.9599286455532196e+18,2.147652862887566e+17,4.8299316105313946e+17
37.26594102058533,67.40272879031919,4.46,0.153,1.0547141776405716e+18,-4.6581351198684064e+17,1.4744733185423877e+18
37.978193574676204,89.26402863410254,1.97,0.636,6.864853996969562e+17,-7.451639896992106e+17,4.3193091333674445e+18
38.02120771226365,-15.245686758692852,4.74,0.454,1.2507181631927245e+18,-3.039506521800979e+17,2.8497603418629056e+16
38.46116761995172,-28.23235312214142,4.96,-0.05,3.605898079594368e+18,1.5743772788472412e+18,-1.7921707695580946e+18
38.96843398175161,5.593089764687819,4.87,0.88,3.3677406093650724e+18,1.4247942702117427e+18,5.809264294243786e+17
39.87075230960048,0.3284932510605736,4.08,-0.212,5.344026865260843e+18,3.147363155355756e+18,2.7310531839593542e+17
39.89218505117721,-11.87378130623978,4.83,0.447,1.2715099929989545e+18,-2.5386083924328954e+17,6.636080139512218e+16
39.89896248833415,-68.26694232740019,4.12,-0.061,1.0572742585472492e+18,-4.328572546726121e+17,-1.1096153320724293e+18
39.9508341904848,-42.89177351264826,4.74,0.061,1.334249784643223e+18,-2.0021751785685837e+17,-5.970621254815809e+17
40.16802120992968,-39.85556350193379,4.11,1.006,1.4525311611162476e+18,-9.591611029499085e+16,-6.440205895488008e+17
40.561998271504166,40.192689944730375,4.91,0.582,1.0870912431439798e+18,-3.991528370220447e+17,7.294651494592274e+17
40.82415370245565,3.2348193486245647,3.47,0.093,1.231209063484697e+18,-2.7113029665607776e+17,2.8177487550530688e+17
40.8629972128898,27.7070779665668,4.65,-0.122,2.987644220052527e+18,1.2490514269370757e+18,1.8646596568538813e+18
41.03057088190237,-13.85875412659699,4.24,-0.122,3.6991872518094623e+18,1.8802620244951562e+18,-7.608076301735754e+17
41.05346121203353,49.22782876066897,4.1,0.514,8.15844717743392e+17,-6.287717649762083e+17,5.004831578439916e+17
41.237585480747136,10.1139367957075,4.27,0.311,1.235278582352684e+18,-2.6013161120590752e+17,3.77986045134011e+17
41.27817252883147,-18.572312941622872,4.47,0.481,9.523424603381504e+17,-5.077664483276828e+17,1.006634904125912e+17
41.38717806247968,-67.6163141968088,4.83,0.058,1.4422687993185818e+18,-7.499658489337216e+16,-2.341766931658199e+18
41.97842286605031,29.246253159484024,4.52,1.112,1.7534126931944312e+18,2.1969419199367296e+17,1.0727616940060717e+18
42.2732899126529,-32.40480427655885,4.45,0.981,1.643461141152061e+18,1.3010824883347277e+17,-6.18356111050567e+17
