RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name,hip
0.3970285892647786,-77.06694152787097,4.78,1.254,-9.040898984939075e+17,-2.07644525192556e+17,-2.14248729709921e+18,HD 3167 b,2736
0.4904014456199904,-6.014356322842632,4.37,1.631,2.532438471034779e+18,-1.7746811471365222e+17,-5.17645209597589e+17,HD 3167 b,2736
0.9351634947056436,-17.33603777380153,4.55,-0.047,6.864466459541993e+17,-1.7728980365223226e+17,-7.488393346994843e+17,HD 3167 b,2736
1.1254483577273542,-10.50960501651364,4.99,1.619,1.3571051651562273e+19,8.266960751776736e+16,-2.8788979766551347e+18,HD 3167 b,2736
1.3338632049942485,-5.70701159434312,4.61,1.029,-1.6220943254610074e+17,-1.8272305815111888e+17,-2.2720523520752474e+17,HD 3167 b,2736
2.0979786941863345,29.089311163474704,2.07,-0.038,-5.696725449212083e+17,-1.8150526064358528e+17,3.4018246072712205e+17,HD 3167 b,2736
2.301541226855566,59.1485382275658,2.28,0.38,-1.1076587907566702e+18,-2.002739648637567e+17,3.3602266009912064e+17,HD 3167 b,2736
2.3538790103738108,-45.74866509811286,3.88,1.013,-4.4751346823586675e+17,-1.7289642827515366e+17,-1.055727010540303e+18,HD 3167 b,2736
2.815470948633589,-15.469829762251422,4.89,0.487,-8.105871180310121e+17,-1.8329152210766016e+17,-2.6177325000050358e+17,HD 3167 b,2736
3.309003624611514,15.183539225412067,2.83,-0.19,1.6651488045005578e+18,-3.5304299383766176e+16,7.192198336429581e+17,HD 3167 b,2736
3.651349762110293,20.20671469611751,4.79,1.572,1.51537418499859e+18,-2.664976646964941e+16,9.584652765127832e+17,HD 3167 b,2736
3.659869098740428,-18.93337307345101,4.44,1.64,3.028367492321473e+18,7.055804020030678e+16,-1.6187191341001213e+18,HD 3167 b,2736
4.27246884570513,38.68151251138633,4.61,0.059,4.9333580463789005e+17,-7.155577810924318e+16,1.3910161278594363e+18,HD 3167 b,2736
4.581332531646425,36.78493184413622,4.51,0.054,-3.0570777346505075e+17,-1.2546937134048426e+17,6.932509540815977e+17,HD 3167 b,2736
4.856877292524707,-8.82418171525453,3.56,1.214,1.3266039267978952e+18,1.839292390245741e+16,-5.26692967250314e+17,HD 3167 b,2736
5.045400978171957,-64.86677022396391,4.23,0.576,-1.2594877149557878e+18,-2.009809107421694e+17,-3.463423889302436e+17,HD 3167 b,2736
6.506998979947076,-77.25199889343968,2.82,0.618,-1.321094109360589e+18,-2.051166784880437e+17,-3.3127416156927475e+17,HD 3167 b,2736
6.551850407043493,-43.67960364597996,3.93,0.175,-8.501253784584271e+17,-1.509846795567297e+17,-6.07615199977256e+17,HD 3167 b,2736
6.573210640055541,-42.30841381553527,2.4,1.083,-8.336974333026775e+17,-1.4889467892094394e+17,-5.991995458572165e+17,HD 3167 b,2736
6.981908731192464,-33.00751365989108,4.86,1.634,2.945134049576817e+18,3.1776796864359034e+17,-2.93141893773493e+18,HD 3167 b,2736
7.85555608308055,-48.80338041844083,4.76,0.018,-3.103443154795681e+17,-6.445339864293453e+16,-1.3302690274270482e+18,HD 3167 b,2736
7.887358768042954,-62.958591552839344,4.36,-0.064,-7.765444420049626e+17,-1.2843881882104909e+17,-1.283341880803735e+18,HD 3167 b,2736
7.890781427482598,-62.965876050654,4.53,0.147,-6.385524491406022e+17,-1.0927724357339368e+17,-1.5567325217548657e+18,HD 3167 b,2736
7.943645439726753,54.52218685362289,4.74,-0.098,5.563036373061975e+17,5.81400403714672e+16,2.62503077687992e+18,HD 3167 b,2736
8.25002553307195,62.93176826039628,4.17,0.13,1.6218592168726313e+19,2.3395891085795707e+18,3.4675060727793058e+19,HD 3167 b,2736
9.2203328425703,33.719319127255105,4.34,-0.123,3.725799973835237e+18,6.165808694066692e+17,3.3402979794243937e+18,HD 3167 b,2736
9.243059946662951,53.8968464274673,3.69,-0.196,1.915195028823359e+18,3.240056427376895e+17,4.459871839765752e+18,HD 3167 b,2736
9.637131219571549,29.31000379691044,4.34,0.871,-36259805986560.0,2.2023230288563424e+16,6.74755419232191e+17,HD 3167 b,2736
9.832906891636195,30.86045267193544,3.27,1.268,-5.6087431151621184e+17,-7.035736558438874e+16,3.8540747911611674e+17,HD 3167 b,2736
10.12746369697223,56.53710979472115,2.24,1.17,-1.9790999150399027e+17,-1226717262369600.0,1.6976503156188155e+18,HD 3167 b,2736
10.331178587238778,-46.084999635615056,4.59,0.953,2.2464318545600333e+17,8.011094975334406e+16,-1.7915648277919964e+18,HD 3167 b,2736
10.51636460002619,50.51248118552076,4.8,-0.105,5.190517938926979e+18,1.0072826115862552e+18,7.99385330874183e+18,HD 3167 b,2736
10.838427544059812,-57.46295331853858,4.36,0.024,-1.7045981991221606e+17,1.909233451234499e+16,-2.0233251941439578e+18,HD 3167 b,2736
10.866709890986527,47.024290635024265,4.95,0.17,-2.6755838621048973e+17,1067330530816928.0,1.1003485569545642e+18,HD 3167 b,2736
10.899062878153684,-17.986379561895237,2.04,1.019,-5.250181151887008e+17,-4.786073551045456e+16,-3.862219515409793e+17,HD 3167 b,2736
11.047456816968651,-10.610333719221485,4.77,0.998,5.438819612335752e+17,1.6310655865246054e+17,-4.719209539740243e+17,HD 3167 b,2736
11.181507688575676,48.28431168280281,4.48,-0.069,4.223806697502564e+18,8.95171725486551e+17,6.29190588807026e+18,HD 3167 b,2736
11.83392543881112,24.26661472495898,4.08,1.1,1.5964188116719462e+17,1.0996817778010093e+17,5.990246161317094e+17,HD 3167 b,2736
12.171178129937884,7.584731955059808,4.44,1.5,1.4253148081236813e+18,3.923709488493412e+17,2.7469876137766422e+17,HD 3167 b,2736
12.208753117457066,50.968100116695126,4.9,-0.091,8.97503781081825e+17,2.8008963756677856e+17,2.7574653597001805e+18,HD 3167 b,2736
12.290249448328716,57.81133639237829,3.46,0.587,-1.276055683173661e+18,-1.9005574155046342e+17,4.914880808718947e+16,HD 3167 b,2736
12.45373731030204,41.07878671193715,4.53,-0.136,3.360225944512828e+18,8.341422968002821e+17,4.117896327568659e+18,HD 3167 b,2736
13.252104250591035,-1.144372236623221,4.78,1.55,3.410107448271342e+18,9.152583807334715e+17,-2.0443591481909558e+17,HD 3167 b,2736
13.266511091971148,61.12513714483894,4.8,0.54,-1.102337062695524e+18,-1.4738469135906432e+17,3.954781545377532e+17,HD 3167 b,2736
13.750221994265996,58.97241778339134,4.83,1.216,5.547131507619464e+17,2.60504709138322e+17,3.1907217676612526e+18,HD 3167 b,2736
14.165028681441536,59.18074381952912,4.62,0.957,-4.039587523632961e+17,3.3354003424771104e+16,1.5666636710293617e+18,HD 3167 b,2736
14.177576241595771,60.716714091567454,2.15,-0.046,1.3789776079991588e+18,4.839893066275944e+17,4.952725369436534e+18,HD 3167 b,2736
14.18972424894549,38.499597843337085,3.86,0.13,-3.93292019800177e+17,3.649478316533334e+16,6.964086055634006e+17,HD 3167 b,2736
14.301338871467,23.41733120275678,4.4,0.94,6.698646596006328e+17,3.095452409309941e+17,8.061551863105701e+17,HD 3167 b,2736
14.651680850872063,-29.357405707910832,4.3,-0.154,3.993267233075005e+18,1.1917439431608586e+18,-3.2254648965919206e+18,HD 3167 b,2736
15.735308986058248,7.89031347303777,4.27,0.952,3.4476852594272384e+17,2.7272425745288077e+17,1.4083711515396685e+17,HD 3167 b,2736
16.52032452712127,-46.71819622982267,3.32,0.885,-1.3946455324720768e+17,1.5458489569251546e+17,-1.4710519022605542e+18,HD 3167 b,2736
17.096429406455808,-55.24555585684016,3.94,-0.12,7.028997516153523e+16,2.3261988959120448e+17,-2.2806063170648358e+18,HD 3167 b,2736
17.148973063108787,-10.183215652300712,3.46,1.161,-3.251120964671992e+17,1.1205614160918125e+17,-3.030378183148119e+17,HD 3167 b,2736
17.195453549710916,86.25701218704398,4.24,1.213,-1.1871621815394033e+18,-1.537879027739657e+17,2.845891616549805e+18,HD 3167 b,2736
17.375561324321097,47.24170289467086,4.26,0.012,3.1414795115901117e+18,1.2013349465427195e+18,5.007943569539506e+18,HD 3167 b,2736
17.434500656498187,35.6197857276719,2.07,1.576,9.114025234562714e+16,2.4849786485222547e+17,9.921902855162598e+17,HD 3167 b,2736
17.778402869149602,55.14976752928888,4.34,0.17,-6.640878036324646e+17,1.599897378367712e+16,9.608237874477889e+17,HD 3167 b,2736
17.8637245042038,21.034577469782253,4.66,1.024,2.3227409225173827e+18,9.797930449847725e+17,1.3863677547504686e+18,HD 3167 b,2736
17.915743975035,30.089379502423625,4.51,1.092,-1.083920024890816e+17,1.9752439429978605e+17,6.629793319715914e+17,HD 3167 b,2736
18.4374203424592,24.58356691183804,4.67,1.047,1.7093361757051136e+18,8.162630087727919e+17,1.379485764959487e+18,HD 3167 b,2736
18.802861769025903,-45.53043863515824,4.97,0.571,-1.0636279398866895e+18,-1.0600352626535304e+17,-4.377863167832161e+17,HD 3167 b,2736
18.95018244330686,-68.87505043225387,4.25,0.48,-1.156741550279167e+18,-1.3708995460528075e+17,-6.944421085989371e+17,HD 3167 b,2736
19.866849031399227,27.2639786462788,4.74,0.032,1.0875067118882703e+18,6.777136638445416e+17,1.2412091033899397e+18,HD 3167 b,2736
20.02046710937374,58.23159571169619,4.95,0.683,9.531328447670028e+18,3.761891261732952e+18,1.8632471132213686e+19,HD 3167 b,2736
20.585398881166025,45.52883784544765,4.87,1.077,-1.5842850034216883e+17,2.447876827279024e+17,1.2138288121597978e+18,HD 3167 b,2736
21.005309594658005,-8.184679494722316,3.6,1.065,-3.7049610628921446e+17,1.7353406193873677e+17,-2.6055077112055562e+17,HD 3167 b,2736
21.405447901698725,-14.598914934909953,4.9,1.231,1.0864425972420567e+18,7.5270633289465e+17,-7.939774042456788e+17,HD 3167 b,2736
21.458086204034142,60.23494261102847,2.66,0.16,-9.371291801484337e+17,-4.008401860867328e+16,7.1009929281949e+17,HD 3167 b,2736
21.4848100635237,68.13019701078169,4.72,1.047,-7.384137945769371e+17,3.836523466722118e+16,1.5891675609502884e+18,HD 3167 b,2736
21.917587997556417,45.40593509756259,4.83,0.421,-8.027884950678673e+17,1.800461400633056e+16,5.1564352294835046e+17,HD 3167 b,2736
22.091190613285704,-43.3196625581622,3.41,1.542,1.2056440415937894e+17,3.947791275911474e+17,-1.624965523546921e+18,HD 3167 b,2736
22.54834134864092,6.143501580894638,4.84,1.372,1.7592434526171453e+18,1.0890754850928204e+18,2.585924930552001e+17,HD 3167 b,2736
