pl_name,hostname,hip,x,y,z,last_updated
eps Eri b,eps Eri,16537,-242212526596.30835,94193775038.5958,476149470491.9364,2022-07-18
bet Pic b,bet Pic,27321,1227082811008.2063,9807916645.439749,566999183447.8743,2023-06-12
bet Pic c,bet Pic,27321,-483397965450.7488,3166300545.479712,172265177899.7341,2023-06-12
HD 81817 b,HD 81817,47193,-523898900375.4391,-7767570935.664898,79305329318.13622,2023-06-12
iot Dra c,iot Dra,75458,1354875223766.37,69872204616.46484,999219078840.7478,2022-05-03
HIP 99770 b,HIP 99770,99770,1823161998017.506,-495320918563.6535,309510861370.0029,2023-04-17
nu Oct A b,nu Oct A,107089,-206861991082.85764,4961677568.129254,-11978549277.100002,2023-01-18
