RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name,hip
0.3970285892647786,-77.06694152787097,4.78,1.254,3618582151943424.0,-1.6965315701964474e+17,-1.5104981046672596e+18,GJ 3090 b,6365
0.4904014456199904,-6.014356322842632,4.37,1.631,3.44014695168063e+18,-1.3947674654074096e+17,1.1434398283436134e+17,GJ 3090 b,6365
0.9351634947056436,-17.33603777380153,4.55,-0.047,1.5941551266000502e+18,-1.39298435479321e+17,-1.1685014226753389e+17,GJ 3090 b,6365
1.1254483577273542,-10.50960501651364,4.99,1.619,1.4478760132208124e+19,1.2066097569067862e+17,-2.2469087842231844e+18,GJ 3090 b,6365
1.3338632049942485,-5.70701159434312,4.61,1.029,7.454990480997501e+17,-1.447316899782076e+17,4.047839572244256e+17,GJ 3090 b,6365
2.0979786941863345,29.089311163474704,2.07,-0.038,3.3803593572464256e+17,-1.4351389247067402e+17,9.721716531590725e+17,GJ 3090 b,6365
2.301541226855566,59.1485382275658,2.28,0.38,-1.999503101108193e+17,-1.6228259669084544e+17,9.68011852531071e+17,GJ 3090 b,6365
2.3538790103738108,-45.74866509811286,3.88,1.013,4.601950124099841e+17,-1.3490506010224242e+17,-4.237378181083526e+17,GJ 3090 b,6365
2.815470948633589,-15.469829762251422,4.89,0.487,9.712136261483872e+16,-1.453001539347489e+17,3.702159424314468e+17,GJ 3090 b,6365
3.309003624611514,15.183539225412067,2.83,-0.19,2.572857285146409e+18,2687068789145088.0,1.3512090260749084e+18,GJ 3090 b,6365
3.651349762110293,20.20671469611751,4.79,1.572,2.4230826656444406e+18,1.1341601703261856e+16,1.5904544689447337e+18,GJ 3090 b,6365
3.659869098740428,-18.93337307345101,4.44,1.64,3.9360759729673236e+18,1.0854940837321805e+17,-9.86729941668171e+17,GJ 3090 b,6365
4.27246884570513,38.68151251138633,4.61,0.059,1.401044285283741e+18,-3.356440993633192e+16,2.0230053202913866e+18,GJ 3090 b,6365
4.581332531646425,36.78493184413622,4.51,0.054,6.020007071808001e+17,-8.7478003167573e+16,1.325240146513548e+18,GJ 3090 b,6365
4.856877292524707,-8.82418171525453,3.56,1.214,2.234312407443746e+18,5.638429207536867e+16,1.0529622518163642e+17,GJ 3090 b,6365
5.045400978171957,-64.86677022396391,4.23,0.576,-3.51779234309937e+17,-1.6298954256925814e+17,2.8564680350170678e+17,GJ 3090 b,6365
