Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
4151,13.266511091971148,61.12513714483894,4.8,0.54,-1.4259572273063613e+18,2.430664756850601e+17,4.885635352634297e+17,HIP 116454 b
4292,13.750221994265996,58.97241778339134,4.83,1.216,2.3109298615110912e+17,6.509558761824463e+17,3.283807148386929e+18,HIP 116454 b
4422,14.165028681441536,59.18074381952912,4.62,0.957,-7.275789169741334e+17,4.238051704688955e+17,1.659749051755038e+18,HIP 116454 b
4427,14.177576241595771,60.716714091567454,2.15,-0.046,1.0553574433883215e+18,8.744404736717188e+17,5.04581075016221e+18,HIP 116454 b
4436,14.18972424894549,38.499597843337085,3.86,0.13,-7.169121844110143e+17,4.269459502094578e+17,7.894939862890771e+17,HIP 116454 b
4463,14.301338871467,23.41733120275678,4.4,0.94,3.462444949897956e+17,6.999964079751186e+17,8.992405670362467e+17,HIP 116454 b
4577,14.651680850872063,-29.357405707910832,4.3,-0.154,3.669647068464168e+18,1.5821951102049833e+18,-3.132379515866244e+18,HIP 116454 b
4906,15.735308986058248,7.89031347303777,4.27,0.952,2.114836133188659e+16,6.631754244970052e+17,2.3392249587964333e+17,HIP 116454 b
5165,16.52032452712127,-46.71819622982267,3.32,0.885,-4.630847178580449e+17,5.450360627366399e+17,-1.377966521534878e+18,HIP 116454 b
5348,17.096429406455808,-55.24555585684016,3.94,-0.12,-2.53330189449302e+17,6.230710566353289e+17,-2.1875209363391596e+18,HIP 116454 b
5364,17.148973063108787,-10.183215652300712,3.46,1.161,-6.487322610780365e+17,5.0250730865330566e+17,-2.099524375891354e+17,HIP 116454 b
5372,17.195453549710916,86.25701218704398,4.24,1.213,-1.5107823461502403e+18,2.3666326427015872e+17,2.9389769972754816e+18,HIP 116454 b
5434,17.375561324321097,47.24170289467086,4.26,0.012,2.817859346979275e+18,1.5917861135868442e+18,5.101028950265182e+18,HIP 116454 b
5447,17.434500656498187,35.6197857276719,2.07,1.576,-2.324799122652101e+17,6.3894903189635e+17,1.0852756662419364e+18,HIP 116454 b
5542,17.778402869149602,55.14976752928888,4.34,0.17,-9.877079682433019e+17,4.0645014082780154e+17,1.0539091681734655e+18,HIP 116454 b
