RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name,hip
0.3970285892647786,-77.06694152787097,4.78,1.254,-6.301791255674852e+17,-1.383785195948428e+18,-3.509032993743516e+17,HD 21520 b,16038
0.4904014456199904,-6.014356322842632,4.37,1.631,2.8063492439612017e+18,-1.3536087854695242e+18,1.2739387881272694e+18,HD 21520 b,16038
0.9351634947056436,-17.33603777380153,4.55,-0.047,9.603574188806216e+17,-1.3534304744081044e+18,1.0427446630253742e+18,HD 21520 b,16038
1.1254483577273542,-10.50960501651364,4.99,1.619,1.3844962424488696e+19,-1.0934710632381048e+18,-1.0873139789302764e+18,HD 21520 b,16038
1.3338632049942485,-5.70701159434312,4.61,1.029,1.1170134038032154e+17,-1.358863728906991e+18,1.5643787625173338e+18,HD 21520 b,16038
2.0979786941863345,29.089311163474704,2.07,-0.038,-2.9576177199478605e+17,-1.3576459313994573e+18,2.1317664584519805e+18,HD 21520 b,16038
2.301541226855566,59.1485382275658,2.28,0.38,-8.33748017830248e+17,-1.3764146356196288e+18,2.127606657823979e+18,HD 21520 b,16038
2.3538790103738108,-45.74866509811286,3.88,1.013,-1.7360269530944448e+17,-1.349037099031026e+18,7.358569871845555e+17,HD 21520 b,16038
2.815470948633589,-15.469829762251422,4.89,0.487,-5.366763451045899e+17,-1.3594321928635323e+18,1.5298107477243548e+18,HD 21520 b,16038
3.309003624611514,15.183539225412067,2.83,-0.19,1.93905957742698e+18,-1.2114449701396383e+18,2.5108038313678167e+18,HD 21520 b,16038
3.651349762110293,20.20671469611751,4.79,1.572,1.7892849579250122e+18,-1.2027904372255217e+18,2.7500492742376417e+18,HD 21520 b,16038
3.659869098740428,-18.93337307345101,4.44,1.64,3.3022782652478956e+18,-1.1055826305555653e+18,1.7286486362473702e+17,HD 21520 b,16038
4.27246884570513,38.68151251138633,4.61,0.059,7.672465775643123e+17,-1.2476964488651154e+18,3.182600125584295e+18,HD 21520 b,16038
4.581332531646425,36.78493184413622,4.51,0.054,-3.179700053862848e+16,-1.3016100420963564e+18,2.4848349518064563e+18,HD 21520 b,16038
4.856877292524707,-8.82418171525453,3.56,1.214,1.6005146997243174e+18,-1.1577477468534147e+18,1.2648910304745446e+18,HD 21520 b,16038
5.045400978171957,-64.86677022396391,4.23,0.576,-9.855769420293656e+17,-1.3771215814980416e+18,1.4452416087946148e+18,HD 21520 b,16038
6.506998979947076,-77.25199889343968,2.82,0.618,-1.0471833364341667e+18,-1.3812573492439158e+18,1.4603098361555837e+18,HD 21520 b,16038
6.551850407043493,-43.67960364597996,3.93,0.175,-5.762146055320049e+17,-1.3271253503126019e+18,1.1839687977476024e+18,HD 21520 b,16038
6.573210640055541,-42.30841381553527,2.4,1.083,-5.597866603762552e+17,-1.3250353496768161e+18,1.1923844518676419e+18,HD 21520 b,16038
6.981908731192464,-33.00751365989108,4.86,1.634,3.2190448225032397e+18,-8.583727021122819e+17,-1.1398349400100716e+18,HD 21520 b,16038
7.85555608308055,-48.80338041844083,4.76,0.018,-3.643354255314586e+16,-1.2405940693988065e+18,4.613149702978102e+17,HD 21520 b,16038
7.887358768042954,-62.958591552839344,4.36,-0.064,-5.026336690785403e+17,-1.304579489576921e+18,5.082421169211233e+17,HD 21520 b,16038
7.890781427482598,-62.965876050654,4.53,0.147,-3.6464167621418e+17,-1.285417914329266e+18,2.348514759699927e+17,HD 21520 b,16038
7.943645439726753,54.52218685362289,4.74,-0.098,8.302144102326198e+17,-1.118000630384405e+18,4.4166147746047785e+18,HD 21520 b,16038
