Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
122,0.3970285892647786,-77.06694152787097,4.78,1.254,1.2469440154953969e+18,-3.749240865579569e+17,-2.51009700740256e+18,HD 88986 b
154,0.4904014456199904,-6.014356322842632,4.37,1.631,4.683472385024084e+18,-3.447476760790531e+17,-8.852549199009388e+17,HD 88986 b
301,0.9351634947056436,-17.33603777380153,4.55,-0.047,2.837480559943504e+18,-3.4456936501763315e+17,-1.1164490450028339e+18,HD 88986 b
355,1.1254483577273542,-10.50960501651364,4.99,1.619,1.5722085565551577e+19,-8.460995384763354e+16,-3.2465076869584845e+18,HD 88986 b
443,1.3338632049942485,-5.70701159434312,4.61,1.029,1.9888244814432036e+18,-3.500026195165198e+17,-5.948149455108745e+17,HD 88986 b
677,2.0979786941863345,29.089311163474704,2.07,-0.038,1.581361369068096e+18,-3.487848220089862e+17,-2.742724957622765e+16,HD 88986 b
746,2.301541226855566,59.1485382275658,2.28,0.38,1.0433751232326341e+18,-3.6755352622915757e+17,-3.158705020422912e+16,HD 88986 b
765,2.3538790103738108,-45.74866509811286,3.88,1.013,1.7035204457534377e+18,-3.4017598964055456e+17,-1.4233367208436526e+18,HD 88986 b
910,2.815470948633589,-15.469829762251422,4.89,0.487,1.3404467959582922e+18,-3.5057108347306106e+17,-6.293829603038533e+17,HD 88986 b
1067,3.309003624611514,15.183539225412067,2.83,-0.19,3.816182718489862e+18,-2.0258386074916707e+17,3.516101233396084e+17,HD 88986 b
1168,3.651349762110293,20.20671469611751,4.79,1.572,3.6664080989878943e+18,-1.939293278350503e+17,5.908555662094336e+17,HD 88986 b
1170,3.659869098740428,-18.93337307345101,4.44,1.64,5.179401406310777e+18,-9.672152116509411e+16,-1.986328844403471e+18,HD 88986 b
1366,4.27246884570513,38.68151251138633,4.61,0.059,2.6443697186271944e+18,-2.388353394746441e+17,1.0234064175560865e+18,HD 88986 b
1473,4.581332531646425,36.78493184413622,4.51,0.054,1.8453261405242537e+18,-2.927489327058852e+17,3.25641243778248e+17,HD 88986 b
1562,4.856877292524707,-8.82418171525453,3.56,1.214,3.4776378407871995e+18,-1.488866374629435e+17,-8.943026775536637e+17,HD 88986 b
1599,5.045400978171957,-64.86677022396391,4.23,0.576,8.915461990335164e+17,-3.682604721075703e+17,-7.139520992335933e+17,HD 88986 b
2021,6.506998979947076,-77.25199889343968,2.82,0.618,8.299398046287154e+17,-3.723962398534446e+17,-6.988838718726244e+17,HD 88986 b
2072,6.551850407043493,-43.67960364597996,3.93,0.175,1.3009085355308772e+18,-3.1826424092213056e+17,-9.752249102806057e+17,HD 88986 b
2081,6.573210640055541,-42.30841381553527,2.4,1.083,1.3173364806866268e+18,-3.161742402863448e+17,-9.668092561605663e+17,HD 88986 b
2210,6.981908731192464,-33.00751365989108,4.86,1.634,5.096167963566121e+18,1.5048840727818944e+17,-3.2990286480382797e+18,HD 88986 b
2472,7.85555608308055,-48.80338041844083,4.76,0.018,1.8406895985097362e+18,-2.3173296000833542e+17,-1.697878737730398e+18,HD 88986 b
2484,7.887358768042954,-62.958591552839344,4.36,-0.064,1.3744894719843418e+18,-2.9571838018645e+17,-1.6509515911070848e+18,HD 88986 b
2487,7.890781427482598,-62.965876050654,4.53,0.147,1.512481464848702e+18,-2.7655680493879456e+17,-1.9243422320582154e+18,HD 88986 b
2505,7.943645439726753,54.52218685362289,4.74,-0.098,2.707337551295502e+18,-1.091395209939337e+17,2.2574210665765704e+18,HD 88986 b
2599,8.25002553307195,62.93176826039628,4.17,0.13,1.8369626082715617e+19,2.1723095472141699e+18,3.4307451017489707e+19,HD 88986 b
2912,9.2203328425703,33.719319127255105,4.34,-0.123,5.876833887824542e+18,4.493013080412683e+17,2.972688269121044e+18,HD 88986 b
2920,9.243059946662951,53.8968464274673,3.69,-0.196,4.0662289428126633e+18,1.5672608137228858e+17,4.092262129462402e+18,HD 88986 b
3031,9.637131219571549,29.31000379691044,4.34,0.871,2.1509976541833178e+18,-1.4525633107683747e+17,3.071457089288413e+17,HD 88986 b
3092,9.832906891636195,30.86045267193544,3.27,1.268,1.5901596024730926e+18,-2.3763692694978963e+17,1.7797768812766976e+16,HD 88986 b
3179,10.12746369697223,56.53710979472115,2.24,1.17,1.953123922485314e+18,-1.685062786277705e+17,1.3300406053154657e+18,HD 88986 b
3245,10.331178587238778,-46.084999635615056,4.59,0.953,2.3756770994453074e+18,-8.716861161205683e+16,-2.1591745380953462e+18,HD 88986 b
3300,10.51636460002619,50.51248118552076,4.8,-0.105,7.341551852916283e+18,8.400030502208543e+17,7.62624359843848e+18,HD 88986 b
3405,10.838427544059812,-57.46295331853858,4.36,0.024,1.9805740940770883e+18,-1.481872268530559e+17,-2.390934904447308e+18,HD 88986 b
3414,10.866709890986527,47.024290635024265,4.95,0.17,1.8834755277788145e+18,-1.6621223083458397e+17,7.327388466512146e+17,HD 88986 b
3419,10.899062878153684,-17.986379561895237,2.04,1.019,1.6260157988006036e+18,-2.1514029687585546e+17,-7.538316618443291e+17,HD 88986 b
3455,11.047456816968651,-10.610333719221485,4.77,0.998,2.694915875222879e+18,-4173002712940352.0,-8.395306642773741e+17,HD 88986 b
3504,11.181507688575676,48.28431168280281,4.48,-0.069,6.374840611491869e+18,7.278921641211502e+17,5.92429617776691e+18,HD 88986 b
3693,11.83392543881112,24.26661472495898,4.08,1.1,2.310675795156499e+18,-5.731138358529997e+16,2.3141490582835974e+17,HD 88986 b
3786,12.171178129937884,7.584731955059808,4.44,1.5,3.5763487221129856e+18,2.250913874839403e+17,-9.29109489256855e+16,HD 88986 b
3801,12.208753117457066,50.968100116695126,4.9,-0.091,3.0485376950711296e+18,1.1281007620137766e+17,2.3898556493968307e+18,HD 88986 b
3821,12.290249448328716,57.81133639237829,3.46,0.587,8.749782308156434e+17,-3.573353029158643e+17,-3.1846090221616026e+17,HD 88986 b
3881,12.45373731030204,41.07878671193715,4.53,-0.136,5.511259858502132e+18,6.668627354348813e+17,3.750286617265309e+18,HD 88986 b
4147,13.252104250591035,-1.144372236623221,4.78,1.55,5.561141362260646e+18,7.479788193680707e+17,-5.720456251224453e+17,HD 88986 b
4151,13.266511091971148,61.12513714483894,4.8,0.54,1.0486968512937804e+18,-3.146642527244652e+17,2.786844423440352e+16,HD 88986 b
4292,13.750221994265996,58.97241778339134,4.83,1.216,2.7057470647512504e+18,9.322514777292109e+16,2.823112057357903e+18,HD 88986 b
4422,14.165028681441536,59.18074381952912,4.62,0.957,1.747075161626008e+18,-1.339255579406298e+17,1.199053960726012e+18,HD 88986 b
4427,14.177576241595771,60.716714091567454,2.15,-0.046,3.530011521988463e+18,3.167097452621935e+17,4.585115659133184e+18,HD 88986 b
4436,14.18972424894549,38.499597843337085,3.86,0.13,1.7577418941891272e+18,-1.3078477820006755e+17,3.287988952600509e+17,HD 88986 b
4463,14.301338871467,23.41733120275678,4.4,0.94,2.820898573589937e+18,1.4226567956559322e+17,4.385454760072204e+17,HD 88986 b
4577,14.651680850872063,-29.357405707910832,4.3,-0.154,6.14430114706431e+18,1.0244643817954578e+18,-3.5930746068952704e+18,HD 88986 b
4906,15.735308986058248,7.89031347303777,4.27,0.952,2.495802439932028e+18,1.0544469608747987e+17,-2.2677259514938288e+17,HD 88986 b
5165,16.52032452712127,-46.71819622982267,3.32,0.885,2.0115693607420966e+18,-1.269466567288544e+16,-1.838661612563904e+18,HD 88986 b
5348,17.096429406455808,-55.24555585684016,3.94,-0.12,2.2213238891508396e+18,6.534032822580358e+16,-2.648216027368186e+18,HD 88986 b
5364,17.148973063108787,-10.183215652300712,3.46,1.161,1.825921817522105e+18,-5.522341975621965e+16,-6.706475286181617e+17,HD 88986 b
5372,17.195453549710916,86.25701218704398,4.24,1.213,9.638717324499012e+17,-3.210674641393666e+17,2.4782819062464553e+18,HD 88986 b
5434,17.375561324321097,47.24170289467086,4.26,0.012,5.292513425579416e+18,1.0340553851773187e+18,4.640333859236156e+18,HD 88986 b
5447,17.434500656498187,35.6197857276719,2.07,1.576,2.2421741663349315e+18,8.121830348682458e+16,6.245805752129101e+17,HD 88986 b
5542,17.778402869149602,55.14976752928888,4.34,0.17,1.4869461103568397e+18,-1.5128058758172378e+17,5.932140771444393e+17,HD 88986 b
5571,17.8637245042038,21.034577469782253,4.66,1.024,4.473774836506687e+18,8.125134836193715e+17,1.0187580444471188e+18,HD 88986 b
5586,17.915743975035,30.089379502423625,4.51,1.092,2.0426419115002227e+18,3.024483293438515e+16,2.953696216682417e+17,HD 88986 b
5742,18.4374203424592,24.58356691183804,4.67,1.047,3.860370089694418e+18,6.48983447407391e+17,1.0118760546561372e+18,HD 88986 b
5862,18.802861769025903,-45.53043863515824,4.97,0.571,1.0874059741026148e+18,-2.7328308763075392e+17,-8.053960270865659e+17,HD 88986 b
5896,18.95018244330686,-68.87505043225387,4.25,0.48,9.942923637101372e+17,-3.0436951597068166e+17,-1.0620518189022868e+18,HD 88986 b
6193,19.866849031399227,27.2639786462788,4.74,0.032,3.2385406258775747e+18,5.104341024791407e+17,8.7359939308659e+17,HD 88986 b
6242,20.02046710937374,58.23159571169619,4.95,0.683,1.1682362361659333e+19,3.5946117003675515e+18,1.8264861421910338e+19,HD 88986 b
6411,20.585398881166025,45.52883784544765,4.87,1.077,1.9926054136471355e+18,7.75081213625015e+16,8.46219101856448e+17,HD 88986 b
6537,21.005309594658005,-8.184679494722316,3.6,1.065,1.7805378077000899e+18,6254500573335872.0,-6.281604814239053e+17,HD 88986 b
6670,21.405447901698725,-14.598914934909953,4.9,1.231,3.237476511231361e+18,5.85426771529249e+17,-1.1615871145490286e+18,HD 88986 b
6686,21.458086204034142,60.23494261102847,2.66,0.16,1.2139047338408707e+18,-2.0736357997407418e+17,3.4248958251614035e+17,HD 88986 b
6692,21.4848100635237,68.13019701078169,4.72,1.047,1.4126201194123674e+18,-1.2891432669817971e+17,1.2215578506469386e+18,HD 88986 b
6813,21.917587997556417,45.40593509756259,4.83,0.421,1.3482454189214372e+18,-1.4927494735907034e+17,1.4803381264500077e+17,HD 88986 b
6867,22.091190613285704,-43.3196625581622,3.41,1.542,2.2715983181486833e+18,2.274995662257465e+17,-1.9925752338502707e+18,HD 88986 b
