hip
522
948
2736
5806
6365
6702
7599
7599
8159
8541
8770
8770
10337
10626
10657
12191
12436
13467
13642
16038
16537
17747
18527
19428
20199
20277
20606
20723
21152
21547
21571
21850
21850
22336
22627
23884
25486
26013
26394
27253
27321
27321
29550
30114
33212
34801
35965
36941
36941
38228
39017
39417
39417
39589
40344
40952
42030
42030
42202
42202
42214
42401
42401
42403
42723
43297
46022
47193
47780
48780
49699
49813
50316
50473
50653
52796
54203
54597
55409
55507
56572
56640
58331
59610
59625
59743
60398
60648
60689
60788
62039
62452
62534
62875
63211
63584
64184
64457
64797
65042
65808
65891
66074
66192
66192
67246
67285
67522
67522
67537
69888
70123
70623
70849
72203
74856
74948
75458
76311
77358
78521
79242
79248
79248
80902
81375
83020
83289
83389
84171
84988
85647
85647
86057
88595
88617
89354
89583
89844
90485
91085
92680
94112
95015
95740
96160
96861
97233
98714
98767
99306
99496
99770
99825
101806
102125
102409
102409
103768
104513
104903
105056
105056
106006
106006
106440
107089
111143
111928
112441
113020
113103
113137
113834
114189
114699
115100
115211
115662
116132
116250
116454
116616
116745
118228
