hip,Magnitude,RA (degrees),Dec (degrees),Distance (AU)
69888,8.21,214.53871056638263,38.96686474957159,34724714.85171855
70123,8.31,215.22251293186306,-17.481972391239157,10896186.271694811
70623,8.81,216.70011583511965,-5.178799549243558,14098756.408540977
70849,10.36,217.3268798263661,-46.465211907915176,4945212.325509026
72203,8.8,221.50898995720195,-68.76315315558654,13946234.367890455
74856,7.72,229.45081767303364,-45.92268872584277,11179664.290356318
74948,6.93,229.7302791418774,-1.5922245321382815,10782269.009375865
75458,3.29,231.23228441170482,58.96618464722925,6461930.017953105
76311,5.97,233.81728696278935,53.92215797771018,25032136.67768175
77358,6.01,236.8676179054686,-37.91778306123956,3144280.5856009135
78521,9.2,240.45827696387275,-44.43536056567563,12241234.792371783
79242,7.7,242.53949480352878,-84.2318251503671,7398307.263123894
79248,6.61,242.60257301643574,43.815592376640616,3742783.6387919993
80902,7.01,247.8269917191722,79.78916964103163,5615703.956196763
81375,7.09,249.2857464271514,0.2548672161398292,4156050.8961900747
83020,7.76,254.47009294309652,47.36856066006035,3702473.637699053
83289,6.16,255.3198802431059,60.64902481169127,22323030.97881022
83389,6.76,255.652930549786,47.087760204771094,3725208.743530225
84171,8.07,258.09664788078896,63.353200680004335,7296243.590014381
84988,7.0,260.52666917176805,-75.34988973313064,5753551.152364509
85647,9.58,262.54381114968527,-51.63825387210474,3327925.2379934695
86057,10.13,263.80761825801653,-48.67772909808532,2016273.7671128
88595,8.42,271.34426133203704,-21.67404660605868,11000789.66493599
88617,8.96,271.39780268707295,63.670648947818094,8025867.953607671
89354,9.33,273.49898804459946,-42.57591583282353,8867790.46327879
89583,8.9,274.2070004833291,-11.407330631587701,11620552.468501056
89844,6.92,275.01573884503665,-9.597264442088957,7813060.844852231
90485,5.9,276.9561758173638,-29.81676103883226,7492364.916199367
91085,8.61,278.6817226390237,-28.073067663921517,9086555.339216944
92680,8.43,283.27465513739713,-50.181097036052634,10241549.464102304
94112,8.25,287.3620640910531,38.714219004936695,22250788.16024504
95015,8.59,289.9995698245961,-9.325786489707323,10066608.419689529
95740,7.86,292.1022627301669,8.357826181606939,10896186.277146827
96160,8.67,293.28709945258396,-54.53295529600747,12205018.122030217
96861,9.03,295.3226299969465,-56.322243584206674,6973117.182814727
97233,7.34,296.42221118088725,-0.697006542105542,19833154.446854435
98714,7.3,300.7540405364438,28.30637637383235,12811478.651988005
98767,5.73,300.91127781757456,29.893200705587574,3278207.379147343
99306,8.09,302.3692406602807,52.27694626515149,15155386.210168445
99496,8.76,302.8780024533592,-64.62016447160534,39065304.21295442
99770,4.93,303.6340651754448,36.80677465071679,8463882.080275746
99825,5.73,303.8320481230478,-27.03422431858181,1820037.1520997249
101806,7.5,309.46278046418365,-60.63492391753083,9679249.476070523
102125,6.51,310.4378339215482,-75.35191402218244,8987573.261406465
102409,8.81,311.2919740362375,-31.34337607420256,2050549.824172458
103768,9.37,315.4149148716725,-32.525307491370135,4220683.578258195
104513,8.28,317.55152302350984,10.73890534967312,43515781.9107747
104903,8.08,318.7404242705474,-20.79003327719049,9558146.724613763
105056,8.23,319.2251725056733,27.25836754066156,30694167.60026259
106006,7.99,322.05116738519024,-21.72812027427813,9757086.399530247
106440,8.66,323.391079647982,-49.01463262994719,1018440.7651388927
107089,3.73,325.37140316685486,-77.39169977668084,4368166.166229095
111143,6.81,337.7501003902225,-49.43460498618571,8405248.83605404
111928,8.06,340.08345092905836,31.7874653441052,20103782.2918362
112441,8.96,341.652465481731,-56.599952693839924,8979747.770698892
113020,10.16,343.3265408342973,-14.268347566085188,969790.8266230774
113103,9.95,343.5723846704886,-43.01016605732893,9208250.281423703
113137,6.04,343.6636420341487,-70.07320519825092,5469764.154642234
113834,7.78,345.78357506383037,-0.43078985674337106,11327007.492573235
114189,5.97,346.8704414853446,21.133906112775392,8237412.397041481
114699,6.12,348.5346058252254,-62.70292668319769,6022330.142890456
115100,8.04,349.6947089131461,18.645737504896328,16728694.754056755
115211,11.03,350.02698820836935,-60.066069622155,5388317.832223744
115662,7.74,351.47069231847394,-20.617256608237987,9329027.880516347
116132,10.05,352.97146922220236,19.93682809429484,1288671.7983978633
116250,5.82,353.3321075799087,-77.38531501356059,6550168.505474657
116454,10.19,353.9537047549559,0.4442375438668058,11395845.668592699
116616,7.11,354.5033357360292,48.99570173644135,10406902.446581973
116745,7.09,354.9090483333398,-72.7272231623308,2351399.9976854892
118228,8.06,359.7168834434706,-61.58691866425477,16076758.089415366
