HIP ID,RAJ2000,DEJ2000,Gmag,Plx,Teff,PM,Absolute Magnitude
67,0.19934103306,23.53821935892,7.719313,7.1774,6272.2,90.957,1.9991487517495568
65,0.18712161069,-54.83051452811,10.588468,16.1641,4594.2,214.989,6.631225642815515
70,0.20272295676,36.77757263367,10.379111,6.6902,5586.5,33.177,4.5063065048316915
72,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,0.18457221791,-27.90757758256,7.764919,3.7888,--,18.139,0.6574274035340357
69,0.20141204456,30.39588755237,8.32446,5.7801,9139.9,14.617,2.134136760504468
75,0.22327196692,-50.44645720894,6.835586,2.0454,--,28.944,-1.6105227419373263
71,0.20702433181,36.78009900429,8.05251,6.6401,--,33.254,2.1633830994915675
76,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,0.22234827543,35.75262238234,9.612058,23.8103,--,164.05,6.495882336857195
73,0.22032238813,66.84801005273,6.362436,3.0496,--,28.123,-1.2163496052088378
79,0.23577027335,35.31672649328,8.559238,3.8472,6125.9,17.842,1.4849618203287545
77,0.23057474331,-30.06416740644,8.412427,4.2947,10387.2,18.953,1.5770911610982177
81,0.24340772812,-4.93253584457,8.416722,22.2093,5629.2,254.91,5.149396352641476
84,0.25242383708,27.8863317461,9.386384,18.9257,5202.4,224.174,5.77164375803761
85,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,0.2428308653,-11.82373943241,8.258347,14.0637,5814.0,426.383,3.998844968350495
87,0.26149638468,-5.83500136144,7.700641,4.914,6684.1,13.059,1.1578167607203103
86,0.26046118453,69.60350331377,8.043076,3.1705,9278.4,11.58,0.5487147876148999
82,0.24801807203,-10.93596374409,9.139559,0.9297,--,65.395,-1.018726845205272
91,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,0.26909537663,-48.80987438889,5.489142,6.6758,5070.7,18.613,-0.388341414036355
78,0.23230683082,17.86783658152,7.708723,1.9953,--,6.138,-0.7912359872309365
83,0.24806581909,52.08056355182,8.111052,1.0469,--,3.862,-1.7894220009769306
89,0.27715175475,53.16694331776,7.220998,2.357,--,0.362,-0.9172040873783818
93,0.29233276506,-0.07611040791,7.981884,15.7099,5790.4,77.283,3.962751102925388
92,0.2906943478,-20.70554914063,8.439182,2.41,5533.8,30.775,0.34926721287434326
90,0.28008314306,-41.8875469786,7.53446,8.8112,6364.2,54.296,2.2596352956860377
96,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,0.30200710145,-11.96404647003,8.553936,6.6788,6175.1,16.454,2.677428192471985
94,0.29499556742,-32.75683716562,9.954228,7.7708,5684.5,50.543,4.406556657518568
97,0.30737351661,-21.40404148949,9.373844,5.9341,6396.0,15.38,3.240618303333722
99,0.31606997761,60.35528497784,5.678268,2.1227,--,12.104,-2.6872889004628133
98,0.30717077412,-52.79857473778,9.750472,7.4368,6086.9,2.616,4.107402510190996
104,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,0.31971186882,-47.79382845083,9.774849,3.985,6395.8,13.916,2.7769906286606547
108,0.33665066858,-70.12527071581,8.110887,1.4315,--,20.301,-1.1101562382119123
105,0.32780398778,70.9289390618,7.58745,3.3918,--,9.316,0.23960117921881086
102,0.32048834112,-41.48743749799,6.34691,3.3415,4735.2,38.047,-1.03338267270144
107,0.3338295273,-50.33737026277,4.765762,5.3743,--,14.175,-1.5826284718848553
106,0.33021415895,49.98155694127,5.971371,4.1155,--,17.445,-0.9565159698775121
109,0.34659811829,6.79147088775,7.142595,5.2472,6982.8,8.405,0.7422330894698943
111,0.34983659511,34.28184781797,10.651361,26.2409,--,254.728,7.7462546310963845
