RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name,hip
0.3970285892647786,-77.06694152787097,4.78,1.254,6.429547550336712e+17,-1.1452352588868307e+17,-1.8190978178669366e+18,GJ 367 b,47780
0.4904014456199904,-6.014356322842632,4.37,1.631,4.079483124562358e+18,-8.434711540977926e+16,-1.9425573036531542e+17,GJ 367 b,47780
0.9351634947056436,-17.33603777380153,4.55,-0.047,2.233491299481778e+18,-8.416880434835933e+16,-4.254498554672106e+17,GJ 367 b,47780
1.1254483577273542,-10.50960501651364,4.99,1.619,1.5118096305089851e+19,1.7579060682164032e+17,-2.5555084974228613e+18,GJ 367 b,47780
1.3338632049942485,-5.70701159434312,4.61,1.029,1.384835220981478e+18,-8.960205884724594e+16,9.618424402474885e+16,GJ 367 b,47780
2.0979786941863345,29.089311163474704,2.07,-0.038,9.773721086063703e+17,-8.838426133971234e+16,6.635719399593957e+17,GJ 367 b,47780
2.301541226855566,59.1485382275658,2.28,0.38,4.393858627709085e+17,-1.0715296555988374e+17,6.594121393313942e+17,GJ 367 b,47780
2.3538790103738108,-45.74866509811286,3.88,1.013,1.0995311852917119e+18,-7.977542897128074e+16,-7.323375313080293e+17,GJ 367 b,47780
2.815470948633589,-15.469829762251422,4.89,0.487,7.364575354965665e+17,-9.017052280378722e+16,6.161622923177002e+16,GJ 367 b,47780
3.309003624611514,15.183539225412067,2.83,-0.19,3.2121934580281364e+18,5.781669992010677e+16,1.0426093128752317e+18,GJ 367 b,47780
3.651349762110293,20.20671469611751,4.79,1.572,3.0624188385261686e+18,6.647123283422354e+16,1.2818547557450568e+18,GJ 367 b,47780
3.659869098740428,-18.93337307345101,4.44,1.64,4.5754121458490516e+18,1.636790395041797e+17,-1.295329654867848e+18,GJ 367 b,47780
4.27246884570513,38.68151251138633,4.61,0.059,2.0403804581654687e+18,2.156522119462976e+16,1.7144056070917097e+18,GJ 367 b,47780
4.581332531646425,36.78493184413622,4.51,0.054,1.241336880062528e+18,-3.234837203661131e+16,1.0166404333138714e+18,GJ 367 b,47780
4.856877292524707,-8.82418171525453,3.56,1.214,2.873648580325474e+18,1.1151392320633035e+17,-2.0330348801804035e+17,GJ 367 b,47780
5.045400978171957,-64.86677022396391,4.23,0.576,2.8755693857179075e+17,-1.0785991143829646e+17,-2.2952909697969984e+16,GJ 367 b,47780
6.506998979947076,-77.25199889343968,2.82,0.618,2.259505441669897e+17,-1.1199567918417075e+17,-7884682337001120.0,GJ 367 b,47780
6.551850407043493,-43.67960364597996,3.93,0.175,6.969192750691515e+17,-5.7863680252856744e+16,-2.842257207449823e+17,GJ 367 b,47780
6.573210640055541,-42.30841381553527,2.4,1.083,7.133472202249011e+17,-5.5773679617070984e+16,-2.7581006662494288e+17,GJ 367 b,47780
6.981908731192464,-33.00751365989108,4.86,1.634,4.492178703104396e+18,4.108889679474633e+17,-2.6080294585026565e+18,GJ 367 b,47780
7.85555608308055,-48.80338041844083,4.76,0.018,1.2367003380480105e+18,2.8667600660938416e+16,-1.0068795481947747e+18,GJ 367 b,47780
7.887358768042954,-62.958591552839344,4.36,-0.064,7.70500211522616e+17,-3.5317819517176144e+16,-9.599524015714615e+17,GJ 367 b,47780
7.890781427482598,-62.965876050654,4.53,0.147,9.084922043869764e+17,-1.6156244269520736e+16,-1.2333430425225923e+18,GJ 367 b,47780
7.943645439726753,54.52218685362289,4.74,-0.098,2.103348290833776e+18,1.5126103967534016e+17,2.9484202561121935e+18,GJ 367 b,47780
8.25002553307195,62.93176826039628,4.17,0.13,1.7765636822253892e+19,2.4327101078834437e+18,3.4998450207025332e+19,GJ 367 b,47780
9.2203328425703,33.719319127255105,4.34,-0.123,5.272844627362816e+18,7.097018687105421e+17,3.663687458656667e+18,GJ 367 b,47780
9.243059946662951,53.8968464274673,3.69,-0.196,3.4622396823509376e+18,4.1712664204156243e+17,4.783261318998025e+18,GJ 367 b,47780
9.637131219571549,29.31000379691044,4.34,0.871,1.547008393721592e+18,1.1514422959243637e+17,9.981448984644646e+17,GJ 367 b,47780
9.832906891636195,30.86045267193544,3.27,1.268,9.861703420113668e+17,2.276363371948421e+16,7.087969583483903e+17,GJ 367 b,47780
10.12746369697223,56.53710979472115,2.24,1.17,1.3491346620235884e+18,9.189428204150334e+16,2.021039794851089e+18,GJ 367 b,47780
10.331178587238778,-46.084999635615056,4.59,0.953,1.771687838983582e+18,1.7323194905721702e+17,-1.468175348559723e+18,GJ 367 b,47780
10.51636460002619,50.51248118552076,4.8,-0.105,6.737562592454559e+18,1.1004036108901281e+18,8.317242787974103e+18,GJ 367 b,47780
10.838427544059812,-57.46295331853858,4.36,0.024,1.3765848336153626e+18,1.1221333381621794e+17,-1.6999357149116844e+18,GJ 367 b,47780
10.866709890986527,47.024290635024265,4.95,0.17,1.279486267317089e+18,9.418832983468987e+16,1.4237380361868378e+18,GJ 367 b,47780
10.899062878153684,-17.986379561895237,2.04,1.019,1.0220265383388778e+18,4.526026379341838e+16,-6.283247230870576e+16,GJ 367 b,47780
11.047456816968651,-10.610333719221485,4.77,0.998,2.0909266147611538e+18,2.562275579563335e+17,-1.4853147474175075e+17,GJ 367 b,47780
11.181507688575676,48.28431168280281,4.48,-0.069,5.770851351030143e+18,9.882927247904239e+17,6.615295367302533e+18,GJ 367 b,47780
11.83392543881112,24.26661472495898,4.08,1.1,1.7066865346947732e+18,2.030891770839739e+17,9.224140953639831e+17,GJ 367 b,47780
12.171178129937884,7.584731955059808,4.44,1.5,2.97235946165126e+18,4.8549194815321414e+17,5.980882406099378e+17,GJ 367 b,47780
12.208753117457066,50.968100116695126,4.9,-0.091,2.444548434609404e+18,3.732106368706515e+17,3.080854838932454e+18,GJ 367 b,47780
12.290249448328716,57.81133639237829,3.46,0.587,2.7098897035391766e+17,-9.693474224659046e+16,3.7253828731946304e+17,GJ 367 b,47780
12.45373731030204,41.07878671193715,4.53,-0.136,4.907270598040407e+18,9.27263296104155e+17,4.4412858068009324e+18,GJ 367 b,47780
13.252104250591035,-1.144372236623221,4.78,1.55,4.957152101798921e+18,1.0083793800373444e+18,1.1895356441317802e+17,GJ 367 b,47780
13.266511091971148,61.12513714483894,4.8,0.54,4.4470759083205466e+17,-5.426369205519137e+16,7.188676337700269e+17,GJ 367 b,47780
13.750221994265996,58.97241778339134,4.83,1.216,2.101757804289525e+18,3.5362570844219494e+17,3.514111246893526e+18,GJ 367 b,47780
14.165028681441536,59.18074381952912,4.62,0.957,1.1430859011642825e+18,1.2647500272864405e+17,1.890053150261635e+18,GJ 367 b,47780
14.177576241595771,60.716714091567454,2.15,-0.046,2.9260222615267374e+18,5.771103059314673e+17,5.276114848668807e+18,GJ 367 b,47780
14.18972424894549,38.499597843337085,3.86,0.13,1.1537526337274017e+18,1.2961578246920629e+17,1.0197980847956742e+18,GJ 367 b,47780
14.301338871467,23.41733120275678,4.4,0.94,2.2169093131282115e+18,4.026662402348671e+17,1.1295446655428438e+18,GJ 367 b,47780
14.651680850872063,-29.357405707910832,4.3,-0.154,5.540311886602584e+18,1.2848649424647316e+18,-2.902075417359647e+18,GJ 367 b,47780
15.735308986058248,7.89031347303777,4.27,0.952,1.8918131794703025e+18,3.658452567567537e+17,4.6422659438624045e+17,GJ 367 b,47780
16.52032452712127,-46.71819622982267,3.32,0.885,1.407580100280371e+18,2.477058949963884e+17,-1.1476624230282807e+18,GJ 367 b,47780
17.096429406455808,-55.24555585684016,3.94,-0.12,1.6173346286891139e+18,3.2574088889507744e+17,-1.9572168378325624e+18,GJ 367 b,47780
17.148973063108787,-10.183215652300712,3.46,1.161,1.2219325570603794e+18,2.051771409130542e+17,2.035166091746173e+16,GJ 367 b,47780
17.195453549710916,86.25701218704398,4.24,1.213,3.598824719881755e+17,-6.066690347009276e+16,3.1692810957820785e+18,GJ 367 b,47780
17.375561324321097,47.24170289467086,4.26,0.012,4.688524165117691e+18,1.2944559458465925e+18,5.33133304877178e+18,GJ 367 b,47780
17.434500656498187,35.6197857276719,2.07,1.576,1.6381849058732058e+18,3.416188641560984e+17,1.3155797647485335e+18,GJ 367 b,47780
17.778402869149602,55.14976752928888,4.34,0.17,8.82956849895114e+17,1.0911997308755006e+17,1.2842132666800625e+18,GJ 367 b,47780
17.8637245042038,21.034577469782253,4.66,1.024,3.8697855760449613e+18,1.0729140442886454e+18,1.709757233982742e+18,GJ 367 b,47780
17.915743975035,30.089379502423625,4.51,1.092,1.438652651038497e+18,2.90645393603659e+17,9.863688112038651e+17,GJ 367 b,47780
18.4374203424592,24.58356691183804,4.67,1.047,3.256380829232692e+18,9.093840080766648e+17,1.7028752441917604e+18,GJ 367 b,47780
18.802861769025903,-45.53043863515824,4.97,0.571,4.834167136408891e+17,-1.2882526961480096e+16,-1.143968375509425e+17,GJ 367 b,47780
18.95018244330686,-68.87505043225387,4.25,0.48,3.903031032484116e+17,-4.396895530140781e+16,-3.710526293666634e+17,GJ 367 b,47780
19.866849031399227,27.2639786462788,4.74,0.032,2.634551365415849e+18,7.708346631484145e+17,1.564598582622213e+18,GJ 367 b,47780
20.02046710937374,58.23159571169619,4.95,0.683,1.1078373101197607e+19,3.855012261036825e+18,1.895586061144596e+19,GJ 367 b,47780
20.585398881166025,45.52883784544765,4.87,1.077,1.3886161531854098e+18,3.3790868203177536e+17,1.5372182913920712e+18,GJ 367 b,47780
21.005309594658005,-8.184679494722316,3.6,1.065,1.1765485472383642e+18,2.6665506124260973e+17,6.283870811171798e+16,GJ 367 b,47780
21.405447901698725,-14.598914934909953,4.9,1.231,2.6334872507696353e+18,8.458273321985229e+17,-4.705879250134052e+17,GJ 367 b,47780
21.458086204034142,60.23494261102847,2.66,0.16,6.09915473379145e+17,5.303698069519966e+16,1.0334887720517637e+18,GJ 367 b,47780
21.4848100635237,68.13019701078169,4.72,1.047,8.086308589506415e+17,1.3148623397109413e+17,1.9125570401825618e+18,GJ 367 b,47780
21.917587997556417,45.40593509756259,4.83,0.421,7.442561584597114e+17,1.111256133102035e+17,8.390330021806241e+17,GJ 367 b,47780
22.091190613285704,-43.3196625581622,3.41,1.542,1.6676090576869576e+18,4.8790012689502035e+17,-1.3015760443146476e+18,GJ 367 b,47780
22.54834134864092,6.143501580894638,4.84,1.372,3.306288106144724e+18,1.1821964843966932e+18,5.819819722874737e+17,GJ 367 b,47780
22.81438709117935,-49.07164154092847,3.93,0.972,1.0166231582853609e+18,2.3611062610347136e+17,-8.35443523695942e+17,GJ 367 b,47780
22.871056134394195,15.345800382789626,3.62,0.974,2.647661826702759e+18,9.250972545647325e+17,9.534410617424689e+17,GJ 367 b,47780
23.482241424529324,59.23188084568045,4.68,0.991,1.0825345659303258e+18,2.7634370943422957e+17,1.8783578610602893e+18,GJ 367 b,47780
24.19776250475581,41.40283808166952,4.1,0.536,4.59713510874763e+17,1.0007145508580368e+16,4.919330602659186e+17,GJ 367 b,47780
24.42964611674067,-57.23703311061782,0.45,-0.158,8.457420129931419e+17,1.8674396824297952e+17,-9.270207701881071e+17,GJ 367 b,47780
24.498784226664792,48.62743989205226,3.59,1.275,1.1646656691055437e+18,3.330540411292727e+17,1.4514202283754455e+18,GJ 367 b,47780
25.145221697686384,40.57688747905262,4.96,-0.068,4.6046189643312517e+18,1.9613075969769623e+18,4.407404922729798e+18,GJ 367 b,47780
25.357735580425697,5.487638056821011,4.45,1.347,3.308154126524842e+18,1.366955499679485e+18,5.501454299653933e+17,GJ 367 b,47780
25.453824947473137,42.61212933209541,4.96,0.618,4.346440925393585e+17,5642167617789440.0,4.8123217660043405e+17,GJ 367 b,47780
25.681211611836503,-3.690436953618045,4.98,1.378,1.0415767812797262e+19,4.806466599920575e+18,-5.1580977658537536e+17,GJ 367 b,47780
25.91541751873087,50.68863898731795,4.01,-0.098,4.039831620709082e+18,1.7599980166318574e+18,5.464268020989783e+18,GJ 367 b,47780
26.004696254874776,-15.931604718523872,3.49,0.727,2.7264890472811027e+17,-7.031300865540529e+16,1.8619287408527514e+17,GJ 367 b,47780
26.34895405180304,9.158003969437589,4.26,0.942,2.3368153564200494e+18,9.52782605968042e+17,6.059348766556607e+17,GJ 367 b,47780
27.39521907940048,-10.687060100096954,4.66,0.333,8.110714584701733e+17,2.1167973803405088e+17,8.196666529010522e+16,GJ 367 b,47780
27.865411110423214,-10.3352993546938,3.74,1.136,2.306965062767656e+18,1.0092050230267357e+18,-2.2263130980324714e+17,GJ 367 b,47780
28.270544618366586,29.57722187261977,3.42,0.488,6.400015399487483e+17,1.3210075704808978e+17,5.16496386299888e+17,GJ 367 b,47780
28.383138453224795,19.29317013578968,3.88,-0.047,1.7808453199989391e+18,7.496972117132815e+17,8.558882030651939e+17,GJ 367 b,47780
28.38912319974112,3.1877009251266406,4.61,0.928,1.759500685964063e+18,7.383781136823748e+17,3.173714401721098e+17,GJ 367 b,47780
28.41050394500296,-46.30329766390707,4.39,1.597,2.0226698291702385e+18,8.814994520763734e+17,-1.9809414808714196e+18,GJ 367 b,47780
28.59935224955399,63.66997314447979,3.35,-0.15,1.8036376325055434e+18,7.699668506187775e+17,3.9644987700975944e+18,GJ 367 b,47780
28.66074689810932,20.807286676296933,2.64,0.165,6.377580867076369e+17,1.349688887737148e+17,4.173286783836231e+17,GJ 367 b,47780
28.73525540738888,-67.64679997534982,4.68,0.931,8.595729703500755e+17,2.5736793090485414e+17,-1.6804213077767288e+18,GJ 367 b,47780
28.99701297381737,-51.60694034708662,3.69,0.844,4.684682892483816e+17,4.467735891222824e+16,-2.058011349932913e+17,GJ 367 b,47780
